X,Y,objectid,featuretype,class,name,operationalstatus,state,spatialconfidence,revised,ga_guid,description,voltagekv,locality,comment_,x_coordinate,y_coordinate
138.130715802,-33.5082511059999,1,Substation,Switchyard,Clements Gap Wind Farm,Operational,South Australia,3,2017/02/23 00:00:00+00,{4E761A13-E1A0-40FA-A82E-25AA0F0F8274},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Clements Gap,,138.1307158,-33.50825111
138.118451349,-33.830150429,2,Substation,Switchyard,Snowtown Windfarm South,Operational,South Australia,3,2017/02/23 00:00:00+00,{DD3A0E33-1A70-4ACB-B3B9-F1CF4A5968B4},"A structure in which high voltage electricity supply is converted, controlled or transformed",,Barunga Gap,,138.11845135,-33.83015043
138.407550759,-33.8468884069999,3,Substation,Switchyard,Blyth West,Operational,South Australia,3,2017/02/23 00:00:00+00,{A5125B00-C7F1-4891-8BEC-4D6EEB882AD5},"A structure in which high voltage electricity supply is converted, controlled or transformed",,Blyth,,138.40755076,-33.84688841
138.727301379,-33.309198855,4,Substation,Switchyard,Belalie-North Brown Hill Wind Farm,Operational,South Australia,5,2017/02/23 00:00:00+00,{919FFBDE-0933-44FB-AB7E-89625F3236F5},"A structure in which high voltage electricity supply is converted, controlled or transformed",275,Belalie East,,138.72730138,-33.30919886
118.725064482,-23.15409245,5,Substation,Switchyard,West Angelas Mine,Operational,Western Australia,5,2017/02/23 00:00:00+00,{EAEB82E8-1450-4722-8715-49E2BCD6A90C},"A structure in which high voltage electricity supply is converted, controlled or transformed",,Newman,Gas,118.72506448,-23.15409245
118.719182882,-23.1489402469999,6,Substation,Substation,West Angelas Mine,Operational,Western Australia,5,2017/02/23 00:00:00+00,{91F5BE1A-4615-48C9-AF28-B567C1DF2596},"A structure in which high voltage electricity supply is converted, controlled or transformed",,Newman,,118.71918288,-23.14894025
114.959898429,-28.991791523,7,Substation,Switchyard,Mumbida Wind Farm,Operational,Western Australia,3,2017/02/23 00:00:00+00,{A5BF13C6-C130-4B5B-905E-BA48015B8CB1},"A structure in which high voltage electricity supply is converted, controlled or transformed",,Burma Road,,114.95989843,-28.99179152
151.072536954,-32.579531236,8,Substation,Switchyard,Redbank,Operational,New South Wales,5,2017/02/23 00:00:00+00,{A3DF248A-95BB-47FA-9756-B69B4FD04CE4},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Warkworth,,151.07253695,-32.57953124
148.716954288,-33.179884063,9,Substation,Substation,Manildra,Operational,New South Wales,5,2017/02/23 00:00:00+00,{1E7456EE-FC62-458C-8C6F-36A2461E2155},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Manildra,,148.71695429,-33.17988406
148.992823513,-33.4663400049999,10,Substation,Sole Use,Cadia,Operational,New South Wales,5,2017/02/23 00:00:00+00,{B802BDF6-BD7B-407D-9E7C-22FE1A429BCD},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Panuara,,148.99282351,-33.46634
151.073004901,-33.8331669529999,11,Substation,Substation,Homebush Bay,Operational,New South Wales,5,2017/02/23 00:00:00+00,{10B0340F-1895-49F5-9AC3-C9811A709970},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Sydney Olympic Park,,151.0730049,-33.83316695
145.529727114,-33.5159193649999,12,Substation,Substation,Hillston,Operational,New South Wales,5,2017/02/23 00:00:00+00,{FC20B5C3-95E4-472C-A850-874E9286A17B},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Hillston,,145.52972711,-33.51591936
144.878295711,-34.489405053,13,Substation,Substation,Hay,Operational,New South Wales,5,2017/02/23 00:00:00+00,{41A1A8E2-D718-453D-A349-AE8D99A6E2EE},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Hay,,144.87829571,-34.48940505
149.398181428,-34.795517321,14,Substation,Substation,Cullerin Range Wind Farm,Operational,New South Wales,3,2017/02/23 00:00:00+00,{CB01C0A4-0B4A-4BB0-B39E-A78D7879F3FE},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Cullerin,,149.39818143,-34.79551732
149.3831808,-34.695818059,15,Substation,Switchyard,Gunning Wind Farm,Operational,New South Wales,3,2017/02/23 00:00:00+00,{CE606830-18DB-4035-8267-F1C697EE173D},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Gurrundah,,149.3831808,-34.69581806
151.703675853,-32.6705370839999,16,Substation,Zone,Brandy Hill,Operational,New South Wales,5,2017/02/23 00:00:00+00,{6C2857BE-A649-4A23-818A-A6F795DDBCF4},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Seaham,,151.70367585,-32.67053708
138.769303752,-35.1717902419999,17,Substation,Zone,Meadows,Operational,South Australia,5,2017/02/23 00:00:00+00,{6678C969-5960-4AE0-9466-2949F0A4F1F9},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Meadows,,138.76930375,-35.17179024
138.819971599,-34.9968693499999,18,Substation,Substation,Balhannah,Operational,South Australia,5,2017/02/23 00:00:00+00,{649993DD-65B1-4F76-886D-D3BDBFDF4D62},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Balhannah,,138.8199716,-34.99686935
138.8129923,-35.043566773,19,Substation,Substation,Harndorf,Operational,South Australia,5,2017/02/23 00:00:00+00,{A22ECBA2-F95D-409B-AD73-09E39D82C154},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Paechtown,,138.8129923,-35.04356677
138.848614278,-35.0847365229999,20,Substation,Substation,Mount Barker South,Operational,South Australia,5,2017/02/23 00:00:00+00,{D4C57FA6-F7C0-46E3-9B71-C5DAA87085B2},"A structure in which high voltage electricity supply is converted, controlled or transformed",275,Mount Barker,,138.84861428,-35.08473652
138.896158086,-35.2711588089999,21,Substation,Substation,Strathalbyn,Operational,South Australia,5,2017/02/23 00:00:00+00,{20AA91C5-0192-4626-AA34-FDC4D863D46A},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Strathalbyn,,138.89615809,-35.27115881
138.480021324,-35.170588767,22,Substation,Substation,Port Noarlunga,Operational,South Australia,5,2017/02/23 00:00:00+00,{D4C7B203-E69F-4155-B88E-D13FE1BC760E},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Seaford Meadows,,138.48002132,-35.17058877
138.489863643,-35.1087478659999,23,Substation,Substation,Port Stanvac,Operational,South Australia,5,2017/02/23 00:00:00+00,{5BE292DC-7FF9-466D-86E1-9B470072A0C9},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Lonsdale,,138.48986364,-35.10874787
142.552266285,-37.681458501,24,Substation,Switchyard,Oaklands Hill Wind Farm,Operational,Victoria,3,2017/02/23 00:00:00+00,{F9046540-07E6-440E-B7E3-D4DB8F745F88},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Glenthompson,Wind,142.55226629,-37.6814585
142.466285918,-37.835143928,25,Substation,Switchyard,Mortons Lane Wind Farm,Operational,Victoria,3,2017/02/23 00:00:00+00,{B2FCD16A-54A3-4861-8AFA-2E83FC2197D4},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Woodhouse,Wind,142.46628592,-37.83514393
143.846901383,-37.534598613,26,Substation,Substation,Ballarat North,Operational,Victoria,5,2017/02/23 00:00:00+00,{4F1BF271-0BFB-44EA-AA81-A93BFCA232EF},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Wendouree,,143.84690138,-37.53459861
143.152392534,-37.3593382409999,27,Substation,Substation,Challicum Hills,Operational,Victoria,3,2017/02/23 00:00:00+00,{12AB9AC8-1D91-4C73-ADB5-1300C03526FC},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Buangor,,143.15239253,-37.35933824
142.924176724,-37.2687142349999,28,Substation,Substation,Ararat,Operational,Victoria,5,2017/02/23 00:00:00+00,{95445360-AEFA-4B04-9D5C-8B301948A56B},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Ararat,,142.92417672,-37.26871423
142.752480074,-37.0583259599999,29,Substation,Substation,Stawell,Operational,Victoria,5,2017/02/23 00:00:00+00,{9D5DE175-EB6A-4D69-89AD-EC4617D850E1},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Stawell,,142.75248007,-37.05832596
153.265809906,-28.8210088979999,30,Substation,Zone,Lismore South,Operational,New South Wales,5,2017/02/23 00:00:00+00,{52CB93C4-8E06-45BD-9C9D-7A0FBFAAA3B9},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,South Lismore,,153.26580991,-28.8210089
153.294770891,-28.83499568,31,Substation,Switchyard,Lismore,Operational,New South Wales,5,2017/02/23 00:00:00+00,{CA1F736C-B9B4-4C21-90FA-E8575C951F32},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Monaltrie,,153.29477089,-28.83499568
153.343708882,-28.814545832,32,Substation,Zone,Lismore East,Operational,New South Wales,5,2017/02/23 00:00:00+00,{49A639F7-05D6-4429-A379-A536A5B7EEE6},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Goonellabah,,153.34370888,-28.81454583
153.433268074,-28.864307836,33,Substation,Zone,Alstonville,Operational,New South Wales,5,2017/02/23 00:00:00+00,{09A0FCF8-B4C0-40BE-B163-83B29CFA50B2},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Lynwood,,153.43326807,-28.86430784
153.594076476,-28.672908471,34,Substation,Zone,Suffolk Park,Operational,New South Wales,5,2017/02/23 00:00:00+00,{EC66A6E1-553A-47C1-AA22-806518C1A4D8},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Byron Bay,,153.59407648,-28.67290847
153.551920859,-28.861008887,35,Substation,Zone,Ballina,Operational,New South Wales,5,2017/02/23 00:00:00+00,{68E6E3D2-9A2C-4DC9-A453-35C63163EBC5},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Ballina,,153.55192086,-28.86100889
153.552250888,-28.781498744,36,Substation,Zone,Lennox Head,Operational,New South Wales,5,2017/02/23 00:00:00+00,{687AE360-4767-45BE-9804-B1D346AE95D3},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Kinvara,,153.55225089,-28.78149874
153.554366167,-28.637273955,37,Substation,Zone,Ewingsdale,Operational,New South Wales,5,2017/02/23 00:00:00+00,{03718F1C-DADC-4EB7-8AD1-60C6E96C05C2},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Ewingsdale,,153.55436617,-28.63727396
151.577418921,-33.1888466789999,38,Substation,Zone,Lake Munmorah,Operational,New South Wales,5,2017/02/23 00:00:00+00,{CD42F60D-291D-477B-865E-77B3785F797A},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Lake Munmorah,,151.57741892,-33.18884668
151.626693984,-32.9402449679999,39,Substation,Zone,Argenton,Operational,New South Wales,5,2017/02/23 00:00:00+00,{AA36F033-3D99-44A0-8AB5-B5F120EE0D89},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Argenton,,151.62669398,-32.94024497
151.65227819,-32.8878019819999,40,Substation,Zone,Maryland,Operational,New South Wales,5,2017/02/23 00:00:00+00,{F66C5998-56FF-4E8A-85C2-1216C3980BC3},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Wallsend,,151.65227819,-32.88780198
150.978168538,-33.7291000829999,41,Substation,Zone,West Castle Hill,Operational,New South Wales,5,2017/02/23 00:00:00+00,{A0AC8A42-0370-4E2E-9313-03732FB1A6DB},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Castle Hill,,150.97816854,-33.72910008
150.907979978,-33.6922173299999,42,Substation,Zone,Rouse Hill,Operational,New South Wales,5,2017/02/23 00:00:00+00,{8958DFFE-EE60-4EC6-A3F5-6ED59D551955},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Rouse Hill,,150.90797998,-33.69221733
150.921489544,-33.687457832,43,Substation,Zone,Mungerie Park,Operational,New South Wales,5,2017/02/23 00:00:00+00,{CBE872F5-66AA-4B2D-A435-3C895922853D},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Rouse Hill,,150.92148954,-33.68745783
150.949570906,-33.744203382,44,Substation,Zone,Bella Vista,Operational,New South Wales,5,2017/02/23 00:00:00+00,{6A0997CE-BC22-4EE7-A174-1D645CD3FA02},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Bella Vista,,150.94957091,-33.74420338
151.00016256,-33.7322091619999,45,Substation,Zone,Cheriton Avenue,Operational,New South Wales,5,2017/02/23 00:00:00+00,{291F5579-4D35-4496-A54A-53E96926A353},"A structure in which high voltage electricity supply is converted, controlled or transformed",,Castle Hill,,151.00016256,-33.73220916
151.202735848,-33.873194401,46,Substation,Zone,City Central,Operational,New South Wales,2,2017/02/23 00:00:00+00,{6EF15A28-3D43-4ED9-B450-BF29FA3AA56A},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Sydney,,151.20273585,-33.8731944
151.207382382,-33.8797835459999,47,Substation,Zone,Belmore Park,Operational,New South Wales,5,2017/02/23 00:00:00+00,{1E65DB34-AC21-4DA2-A940-A5271B7F7D85},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Haymarket,,151.20738238,-33.87978355
151.187909123,-33.9143200299999,48,Substation,Bulk Supply Point,Beaconsfield North,Operational,New South Wales,3,2017/02/23 00:00:00+00,{DEEF6AFA-04EB-47D3-9D10-4C81598ED3C5},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Alexandria,,151.18790912,-33.91432003
151.010523584,-34.0148846769999,49,Substation,Zone,Menai,Operational,New South Wales,5,2017/02/23 00:00:00+00,{F13158E1-77C7-4B2A-8B09-EA8AECEC822C},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Menai,,151.01052358,-34.01488468
151.075461065,-34.0338727079999,50,Substation,Zone,Kirrawee,Operational,New South Wales,5,2017/02/23 00:00:00+00,{9262742E-72C7-4BC6-B9E4-606766101565},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Kirrawee,,151.07546107,-34.03387271
151.080227927,-34.0271308059999,51,Substation,Zone,Port Hacking,Operational,New South Wales,5,2017/02/23 00:00:00+00,{5FDAAADB-3BDB-4CAC-A110-E79E632BD818},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Kirrawee,,151.08022793,-34.02713081
151.146912179,-34.051081385,52,Substation,Zone,Cronulla,Operational,New South Wales,5,2017/02/23 00:00:00+00,{B4DD5A9C-37C5-49A0-B0B7-57BC321FF6A4},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Cronulla,,151.14691218,-34.05108139
150.836809716,-33.813299473,53,Substation,Zone,Eastern Creek,Operational,New South Wales,5,2017/02/23 00:00:00+00,{56177001-C716-4D35-B5B7-58C91AA54872},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Eastern Creek,,150.83680972,-33.81329947
150.848238165,-33.766410418,54,Substation,Zone,BHP,Operational,New South Wales,5,2017/02/23 00:00:00+00,{BB148644-4F6F-4EFD-92C2-8312D4BB2ED8},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Rooty Hill,,150.84823817,-33.76641042
150.885941738,-33.7353753479999,55,Substation,Zone,Quakers,Operational,New South Wales,5,2017/02/23 00:00:00+00,{BCCC4AD3-12AE-46A4-90FA-0EE7962C7635},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Quakers Hill,,150.88594174,-33.73537535
150.890864199,-33.79040752,56,Substation,Zone,Arndell Park,Operational,New South Wales,5,2017/02/23 00:00:00+00,{BADA1A60-6C91-4FA0-9909-C4B2AAE9BEF8},"A structure in which high voltage electricity supply is converted, controlled or transformed",,Arndell Park,,150.8908642,-33.79040752
151.002782367,-33.836782205,57,Substation,Zone,Granville,Operational,New South Wales,5,2017/02/23 00:00:00+00,{2DFF7C4C-FA73-4763-8FA9-B18589A04C7A},"A structure in which high voltage electricity supply is converted, controlled or transformed",,Granville,,151.00278237,-33.83678221
151.009012798,-33.807479562,58,Substation,Zone,North Parramatta,Operational,New South Wales,5,2017/02/23 00:00:00+00,{21D18BC0-ED4B-4366-91B1-6D6D3111E75D},"A structure in which high voltage electricity supply is converted, controlled or transformed",,North Parramatta,,151.0090128,-33.80747956
150.911680415,-33.842038949,59,Substation,Zone,Wetherill Park,Operational,New South Wales,5,2017/02/23 00:00:00+00,{0C2952A5-F6C9-43D4-A545-9C476392BB13},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Wetherill Park,,150.91168042,-33.84203895
149.108623035,-35.246194884,60,Substation,Switchyard,Bruce,Operational,Australian Capital Territory,5,2017/02/23 00:00:00+00,{77C94DA7-E2EE-4E48-8A86-BF97A30E9019},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Bruce,,149.10862304,-35.24619488
149.070430543,-35.333656681,61,Substation,Zone,Woden,Operational,Australian Capital Territory,5,2017/02/23 00:00:00+00,{2BFBCA90-A5B3-49BF-AB14-6035E15BCC27},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Lyons,,149.07043054,-35.33365668
