X,Y,objectid,unique_record_id,ga_id,unique_site_id,authority,licence_no,co_located,facility_management_type,facility_infastructure_type,facility_owner,facility_name,state,address,suburb,postcode,operational_status,spatial_confidence,capture_method,gnaf_address_detail_pid,gnaf_formatted_address,gnaf_suburb,gnaf_postcode,gnaf_confidence,gnaf_date_created,gnaf_date_last_modfied,gnaf_date_retired
149.203882,-35.342954,1,WASTACT2,,ACT00002,,,,RECYCLING,C&D WASTE RECYCLING FACILITY,ACT WASTEWATER & MUD RECOVERY,ACT WASTEWATER & MUD RECOVERY,ACT,21 UNDERWOOD ROAD ,BEARD ,2620,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
150.870465,-34.2536229999999,2,WASTNSW21,,NSW00021,EPA NSW,21180,,RECYCLING,C&D WASTE RECYCLING FACILITY,JOE TAYLOR SAND PTY LTD,APPIN SANDS QUARRY,NSW,APPIN ROAD,APPIN,2560,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
147.711795,-33.3576909999999,3,WASTNSW128,,NSW00102,EPA NSW,299,,DISPOSAL,LANDFILL – PUTRESCIBLE,FORBES SHIRE COUNCIL,BEDGEREBONG  LANDFILL,NSW,DARCYS LANE,BEDGEREBONG,2871,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
149.451793,-32.3660219999999,4,WASTNSW170,,NSW00140,EPA NSW,3630,,RECYCLING,C&D WASTE RECYCLING FACILITY,BORAL RESOURCES (COUNTRY) PTY LTD,BORAL COUNTRY CONCRETE & QUARRIES,NSW,SPRINGRIDGE ROAD,BERYL,2852,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
149.671623,-36.751899,5,WASTNSW295,,NSW00252,,,YES,DROP-OFF,TRANSFER STATION,BEGA VALLEY SHIRE COUNCIL,CANDELO WASTE TRANSFER DEPOT,NSW,KEMPS LANE,CANDELO,2550,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
149.671623,-36.751899,6,WASTNSW296,,NSW00252,,,YES,REUSE,REUSE SHOP,BEGA VALLEY SHIRE COUNCIL,CANDELO WASTE TRANSFER DEPOT,NSW,KEMPS LANE,CANDELO,2550,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
148.629817,-31.9605089999999,7,WASTNSW546,,NSW00456,,,,DROP-OFF,TRANSFER STATION,DUBBO REGIONAL COUNCIL,EUMUNGERIE RECYCLING CENTRE,NSW,WHEATON STREET,EUMUNGERIE,2822,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
148.843738,-34.263044,8,WASTNSW579,,NSW00483,,,,DROP-OFF,TRANSFER STATION,HILLTOPS COUNCIL,FROGMORE TRANSFER STATION,NSW,SHEILAS LANE,FROGMORE,2586,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
147.463024,-29.114233,9,WASTNSW618,,NSW00516,EPA NSW,242,,DISPOSAL,LANDFILL – PUTRESCIBLE,BREWARRINA SHIRE COUNCIL,GOODOOGA WASTE DEPOT,NSW,LOT 103 RESERVOIR STREET,GOODOOGA,2838,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
152.94947,-29.675249,10,WASTNSW644,,NSW00539,,,YES,DROP-OFF,ORGANICS RECYCLING FACILITY,CLARENCE VALLEY COUNCIL,GRAFTON GREEN WASTE DROP OFF FACILITY,NSW,CNR DUKE & KIRCHNER STREETS,GRAFTON,2460,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
152.94947,-29.675249,11,WASTNSW645,,NSW00539,,,YES,DROP-OFF,TRANSFER STATION,CLARENCE VALLEY COUNCIL,GRAFTON WASTE TRANSFER STATION,NSW,CNR DUKE & KIRCHNER STREETS,GRAFTON,2460,OPERATIONAL,1,SPATIAL AS RECEIVED – NO GNAF MATCH,,,,,,,,
