"Address","Zone","Area","01 Jul 2023","01 Jul 2024","% change"
"Dean St, Albury","E2","285.5 m²","$725,000","$740,000","2.1%"
"Dean St, Albury","E2","537.5 m²","$750,000","$765,000","2.0%"
"Borella Rd, East Albury","E1","979.1 m²","$402,000","$422,000","5.0%"
"Borella Rd, East Albury","E3","1.856 ha","$3,400,000","$3,570,000","5.0%"
"Doctors Point Rd, East Albury","E3","3.09 ha","$1,250,000","$1,310,000","4.8%"
"Mclaurin Rd, Ettamogah","SP4","3.328 ha","$1,080,000","$1,120,000","3.7%"
"Wagga Rd, Ettamogah","E3","6.667 ha","$550,000","$632,000","14.9%"
"Urana Rd, Lavington","E2","607 m²","$340,000","$367,000","7.9%"
"Wagga Rd, Lavington","E1","2661 m²","$400,000","$440,000","10.0%"
"Mate St, North Albury","E3","3848 m²","$840,000","$940,000","11.9%"
"Diamond Dr, Thurgoona","E1","2500 m²","$1,100,000","$1,150,000","4.6%"
