Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bellewood Rd, Armidale",RU4,10.18 ha,"$555,000","$555,000",0.0%
"Old Inverell Rd, Armidale",RU4,2.024 ha,"$350,000","$350,000",0.0%
"Hudsons Rd, Baldersleigh",RU1,388.5 ha,"$704,000","$710,000",0.9%
"Inn Rd, Ben Lomond",RU1,15.38 ha,"$299,000","$300,000",0.3%
"Old Armidale Rd, Boorolong",RU1,322.333 ha,"$3,140,000","$3,140,000",0.0%
"St Elmo Rd, Boorolong",RU1,657.2 ha,"$1,300,000","$1,300,000",0.0%
"Brushy Creek Rd, Brushy Creek",RU1,320.37 ha,"$2,340,000","$2,340,000",0.0%
"Dangarsleigh Rd, Dangarsleigh",RU1,3814 m²,"$9,900","$10,000",1.0%
"Enmore Rd, Dangarsleigh",RU1,40.23 ha,"$661,000","$660,000",-0.2%
"Boorolong Rd, Dumaresq",RU1,176.1 ha,"$1,420,000","$1,450,000",2.1%
"Point Lookout Rd, Ebor",RU1,259.5 ha,"$2,980,000","$2,980,000",0.0%
"Baldersleigh Rd, Guyra",RU1,24.62 ha,"$530,000","$530,000",0.0%
"Kempsey Rd, Lower Creek",RU1,545.3 ha,"$754,000","$760,000",0.8%
"Lower Creek Rd, Lower Creek",RU1,203.8 ha,"$185,000","$190,000",2.7%
"Petroi Rd, Lower Creek",RU1,69.31 ha,"$171,000","$200,000",17.0%
"Silverton Rd, Metz",RU1,322.116 ha,"$1,940,000","$1,940,000",0.0%
"Moredun Dams Rd, New Valley",RU1,926.7 ha,"$253,000","$255,000",0.8%
"Lyndhurst Rd, Thalgarrah",RU1,41.59 ha,"$315,000","$315,000",0.0%
"Inverness Rd, Wandsworth",RU1,2.317 ha,"$15,600","$16,000",2.6%
"Wards Mistake Rd, Wards Mistake",RU1,390.6 ha,"$2,280,000","$2,280,000",0.0%
"Kilcoy Rd, Wollomombi",RU1,8283 m²,"$64,400","$75,000",16.5%
