Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Piper St, Balranald",RU1,9.32 ha,"$115,000","$134,000",16.5%
"Sturt Hwy, Balranald",RU1,3352.87 ha,"$2,109,000","$2,109,000",0.0%
"Weimby Rd, Balranald",RU1,39 m²,"$2,500","$2,500",0.0%
"Windomal Rd, Balranald",RU1,788.5 ha,"$1,667,000","$1,667,000",0.0%
Balranald,RU1,10503 ha,"$3,420,000","$3,420,000",0.0%
"Wooranbara Corrong Rd, Corrong",RU1,2508.54 ha,"$1,180,000","$1,180,000",0.0%
"Brett Rd, Euston",RU4,3.334 ha,"$243,000","$243,000",0.0%
"Cary St, Euston",RU1,1204 m²,"$110,000","$126,500",15.0%
"Dry Lake Rd, Euston",RU1,9.983 ha,"$211,000","$211,000",0.0%
"Sturt Hwy, Euston",RU1,2484.76 ha,"$2,295,000","$2,295,000",0.0%
"Cunningham St, Oxley",RU1,4319 m²,"$4,500","$4,500",0.0%
