Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Lachlan Rd, Caloola",RU1,366.86 ha,"$2,350,000","$2,170,000",-7.7%
"Curragh Rd, Copperhannia",RU1,240 ha,"$990,000","$990,000",0.0%
"James White Dr, Fosters Valley",RU1,17.38 ha,"$510,000","$510,000",0.0%
"Gormans Hill Rd, Gormans Hill",RU4,2.005 ha,"$550,000","$580,000",5.5%
"Hill End Rd, Hill End",RU1,712.6 ha,"$975,000","$925,000",-5.1%
Hill End,RU1,2.044 ha,"$54,900","$54,900",0.0%
"Mountain Straight , Mount Panorama",RU2,2.246 ha,"$1,800,000","$1,800,000",0.0%
"Rivulet Rd, Peel",RU1,7 ha,"$290,000","$295,000",1.7%
"P J Moodie Memorial Dr, Raglan",RU1,4.047 ha,"$680,000","$680,000",0.0%
"Bathurst St, Sunny Corner",RU1,2024 m²,"$180,000","$180,000",0.0%
"Hobbys Yards Rd, Trunkey Creek",RU1,24.67 ha,"$140,000","$145,000",3.6%
