Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Ednies Rd, Berrigan",RU1,198.83 ha,"$2,600,000","$2,300,000",-11.5%
"Oaklands Rd, Berrigan",RU1,5.531 ha,"$20,000","$20,000",0.0%
"Riverina Hwy, Berrigan",RU1,8.094 ha,"$160,000","$175,000",9.4%
"Victoria Park Rd, Berrigan",RU1,259 ha,"$2,750,000","$2,610,000",-5.1%
"Yarrawonga Rd, Boomanoomana",RU1,16.83 ha,"$320,000","$320,000",0.0%
"Broockmanns Rd, Finley",RU1,11.02 ha,"$185,000","$190,000",2.7%
"St Leons Rd, Finley",RU1,200.2 ha,"$1,470,000","$1,470,000",0.0%
"Old Adcocks Rd, Tocumwal",RU1,19.39 ha,"$235,000","$240,000",2.1%
"Taylors Rd, Tocumwal",RU1,280.65 ha,"$1,620,000","$1,700,000",4.9%
"Tuppal Rd, Tocumwal",RU1,3.035 ha,"$950,000","$950,000",0.0%
