Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Hermidale Nymagee Rd, Babinda",RU1,4800.18 ha,"$720,000","$864,000",20.0%
"Cobar Condo Rd, Bobadah",RU1,4316.33 ha,"$1,500,000","$1,800,000",20.0%
"Fords Rd, Bobadah",RU1,1472 ha,"$407,000","$407,000",0.0%
"Merryanbone Rd, Canonba",RU1,8878 m²,"$1,330","$3,990",200.0%
"Mitchell Hwy, Coolabah",RU1,13220 ha,"$1,400,000","$1,400,000",0.0%
"Okeh Rd, Girilambone",RU1,1834.7 ha,"$727,000","$872,000",19.9%
"Coffills Lane, Honeybugle",RU1,1242.8 ha,"$1,540,000","$1,840,000",19.5%
"Mulla Rd, Nyngan",RU1,876.33 ha,"$1,500,000","$1,500,000",0.0%
"Old Warren Rd, Nyngan",RU1,773.145 ha,"$1,330,000","$1,330,000",0.0%
"Temples Lane, Nyngan",RU1,46.72 ha,"$211,000","$232,000",10.0%
