Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bundy Rd, Bourke",RU1,420 ha,"$160,000","$160,000",0.0%
"Dry Bogan Rd, Bourke",RU1,1674.8 ha,"$606,000","$606,000",0.0%
"Mitchell Hwy, Bourke",RU1,2704 ha,"$1,046,000","$1,046,000",0.0%
"Monomeeth St, Bourke",RU1,4.65 ha,"$113,000","$135,000",19.5%
Bourke,RU1,4133 ha,"$1,243,000","$1,243,000",0.0%
"Mitchell Hwy, Byrock",RU1,3569 ha,"$497,000","$497,000",0.0%
"Mitchell Hwy, Enngonia",RU1,2251 m²,$900,$900,0.0%
"Toorale Rd, Gumbalie",RU1,10402.4 ha,"$1,959,000","$1,959,000",0.0%
Gunderbooka,RU1,10462 ha,"$1,255,000","$1,255,000",0.0%
"Mathews St, Louth",RU1,2023 m²,"$3,000","$3,000",0.0%
"Bond St, Yantabulla",RU1,2023 m²,$500,$500,0.0%
"Dungarvan Rd, Yantabulla",RU1,17836.132 ha,"$1,667,000","$1,667,000",0.0%
