Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Deacon St, Bangalow",R,6132 m²,"$60,000","$60,000",0.0%
"Eureka Rd, Clunes",RU1,2 ha,"$960,000","$920,000",-4.2%
"Eureka Rd, Clunes",RU1,40.34 ha,"$1,920,000","$2,000,000",4.2%
"Eureka Rd, Eureka",RU1,6280 m²,"$60,000","$60,000",0.0%
"Taylors Rd, Eureka",RU2,8.649 ha,"$979,000","$1,000,000",2.2%
"Whian Rd, Eureka",RU2,26.45 ha,"$2,000,000","$2,000,000",0.0%
"Kennedys Lane, Ewingsdale",RU1,35.54 ha,"$2,600,000","$2,600,000",0.0%
"Blindmouth Rd, Main Arm",RU2,20.24 ha,"$200,000","$200,000",0.0%
"Browns Cres, Mcleods Shoot",RU2,40.49 ha,"$3,500,000","$3,500,000",0.0%
"Main Arm Rd, Mullumbimby",RU1,4047 m²,"$730,000","$760,000",4.1%
"Myocum Rd, Myocum",RU1,1.599 ha,"$1,170,000","$1,200,000",2.6%
"Tooheys Mill Rd, Nashua",RU1,41.09 ha,"$2,030,000","$2,030,000",0.0%
"Skinners Shoot Rd, Skinners Shoot",RU2,1.154 ha,"$1,560,000","$1,620,000",3.9%
"Alidenes Rd, Wilsons Creek",RU2,5.426 ha,"$800,000","$800,000",0.0%
