Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Cargo Rd, Canowindra",RU1,7.005 ha,"$220,000","$230,000",4.6%
"Nanami Lane, Canowindra",RU1,360.55 ha,"$602,000","$602,000",0.0%
"Kjollers Rd, Clergate",RU1,16.19 ha,"$700,000","$700,000",0.0%
"Davys Plains Rd, Cudal",RU1,250.6 ha,"$1,930,000","$1,930,000",0.0%
"Scenic Dr, Cudal",RU1,138.8 ha,"$1,500,000","$1,620,000",8.0%
"Nangar Rd, Eugowra",RU1,16.16 ha,"$224,000","$235,000",4.9%
"Henry Parkes Way, Manildra",RU1,16.99 ha,"$190,000","$255,000",34.2%
"Bloomfield Rd, Molong",RU1,25.8 ha,"$239,000","$239,000",0.0%
"Peabody Rd, Molong",RU1,5.951 ha,"$489,000","$489,000",0.0%
"Strathmore Lane, Molong",RU1,146.4 ha,"$3,090,000","$3,090,000",0.0%
"Cargo Rd, Nashdale",RU2,21.6 ha,"$1,170,000","$1,170,000",0.0%
"Obley Rd, Obley",RU1,41 ha,"$129,000","$155,000",20.2%
"Yellowbox Rd, Toogong",RU1,38.95 ha,"$399,000","$410,000",2.8%
