Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Cameron Rd, Carrathool",RU1,503.6 ha,"$1,400,000","$1,540,000",10.0%
"Murrumbidgee River Rd, Carrathool",RU1,182.7 ha,"$1,190,000","$1,190,000",0.0%
"Berangerine Rd, Gunbar",RU1,3008.16 ha,"$2,530,000","$2,530,000",0.0%
"High St, Hillston",RU1,3035 m²,"$55,400","$55,400",0.0%
"Kidman Way, Hillston",RU1,1084.51 ha,"$1,490,000","$1,490,000",0.0%
"Lachlan River Rd, Hillston",RU1,27.11 ha,"$194,000","$194,000",0.0%
"Lachlan River Rd, Hillston",RU1,404.8 ha,"$1,600,000","$1,600,000",0.0%
"Mossgiel Rd, Hillston",RU1,4458.9 ha,"$1,810,000","$2,080,000",14.9%
"Suburb St, Rankins Springs",RU1,3.559 ha,"$23,300","$23,300",0.0%
"Simpkins Lane, Tabbita",RU1,373.1 ha,"$1,420,000","$1,560,000",9.9%
"Kidman Way, Wallanthery",RU1,1984.2 ha,"$1,900,000","$1,900,000",0.0%
