Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Dooralong Rd, Dooralong",RU1,6.636 ha,"$1,220,000","$1,220,000",0.0%
"Dicksons Rd, Jilliby",RU2,15.327 ha,"$1,050,000","$1,050,000",0.0%
"Old Maitland Rd, Kangy Angy",RU2,3.811 ha,"$1,120,000","$1,120,000",0.0%
"Finns Rd, Kulnura",RU1,8.726 ha,"$1,400,000","$1,350,000",-3.6%
"George Downes Dr, Kulnura",RU2,29.14 ha,"$1,080,000","$1,080,000",0.0%
"Walkers Ridge Rd, Kulnura",RU2,20.01 ha,"$920,000","$950,000",3.3%
"Waratah Rd, Mangrove Mountain",RU1,4.238 ha,"$1,320,000","$1,320,000",0.0%
"Old Maitland Rd, Mardi",RU1,4.519 ha,"$1,060,000","$1,110,000",4.7%
"Pacific Hwy, Mount White",RU2,9.942 ha,"$900,000","$900,000",0.0%
"Elmo St, Ourimbah",RU1,5.216 ha,"$1,120,000","$1,200,000",7.1%
"Euloo Rd, Peats Ridge",RU1,11.22 ha,"$1,640,000","$1,830,000",11.6%
"Goldsmith Rd, Somersby",RU2,1.756 ha,"$1,200,000","$1,280,000",6.7%
"Howes Rd, Somersby",RU1,4.249 ha,"$1,760,000","$1,850,000",5.1%
