Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Trida Rd, Ivanhoe",RU1,10103.5 ha,"$3,088,000","$3,088,000",0.0%
"Ivanhoe Menindee Rd, Menindee",RU1,13.464 ha,"$21,000","$21,000",0.0%
"Menindee Rd, Menindee",RU1,10319 ha,"$2,679,000","$2,679,000",0.0%
"Pooncarie Rd, Menindee",RU1,6.158 ha,"$10,000","$10,000",0.0%
"West Wilcannia Rd, Menindee",RU1,1738.91 ha,"$494,000","$494,000",0.0%
"Cobb Hwy, Mossgiel",RU1,4 ha,"$2,000","$2,000",0.0%
Tilpa,RU1,14283 ha,"$3,255,000","$3,255,000",0.0%
"Reola Rd, White Cliffs",RU1,31363 ha,"$2,901,000","$2,901,000",0.0%
"Barrier Hwy, Wilcannia",RU1,18280 ha,"$4,665,000","$4,665,000",0.0%
"West Wilcannia Rd, Wilcannia",RU1,14.55 ha,"$22,000","$22,000",0.0%
