Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Congewai Rd, Congewai",RU2,42.85 ha,"$1,250,000","$1,300,000",4.0%
"Listers Lane, Congewai",RU2,85.42 ha,"$1,700,000","$1,780,000",4.7%
"Elrington Dr, Elrington",RU2,36.51 ha,"$1,300,000","$1,380,000",6.2%
"Wollombi Rd, Millfield",RU2,38.96 ha,"$710,000","$740,000",4.2%
"Lindsay Rd, North Rothbury",RU2,2 ha,"$670,000","$690,000",3.0%
"Ellalong Rd, Pelton",RU2,809.4 m²,"$315,000","$315,000",0.0%
"Deasys Rd, Pokolbin",RU4,11.22 ha,"$1,650,000","$1,730,000",4.9%
"Mcdonalds Rd, Pokolbin",RU4,541.4 m²,"$152,000","$158,000",4.0%
"Whitings Lane, Quorrobolong",RU2,16.19 ha,"$1,090,000","$1,110,000",1.8%
"Wollong Rd, Quorrobolong",RU2,2 ha,"$670,000","$685,000",2.2%
"Hinds Lane, Sawyers Gully",RU2,14.09 ha,"$955,000","$1,020,000",6.8%
"Wollombi Rd, Sweetmans Creek",RU2,2.005 ha,"$630,000","$645,000",2.4%
"Wollombi Rd, Sweetmans Creek",RU2,16.19 ha,"$685,000","$705,000",2.9%
