Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Ashby Tullymorgan Rd, Ashby Heights",RU2,48.596 ha,"$441,000","$450,000",2.0%
"Calligans Creek Rd, Calliope",RU1,20.59 ha,"$360,000","$360,000",0.0%
"Four Mile Lane, Clarenza",RU2,10 ha,"$300,000","$300,000",0.0%
"Tancreds Lane, Clarenza",RU2,97.13 ha,"$850,000","$850,000",0.0%
"Coaldale Rd, Coaldale",RU2,237.868 ha,"$470,000","$480,000",2.1%
"Jackenbob Rd, Coutts Crossing",RU2,88.37 ha,"$838,000","$838,000",0.0%
"Valley View Rd, Ewingar",RU2,53.974 ha,"$215,000","$220,000",2.3%
"Airport Rd, Glenugie",RU2,8.655 ha,"$290,000","$290,000",0.0%
"Goodwood Island Rd, Goodwood Island",RU1,8004 m²,"$750,000","$750,000",0.0%
"Cedar Log Rd, Hernani",RU1,1.738 ha,"$20,000","$20,000",0.0%
"Gardiners Rd, James Creek",RU1,69.86 ha,"$750,000","$780,000",4.0%
"Orara Way, Kremnos",RU2,183.014 ha,"$1,030,000","$1,030,000",0.0%
"Florda Red Dr, Lanitza",RU2,40.31 ha,"$360,000","$360,000",0.0%
"Anne St, Lawrence",RU2,4.603 ha,"$18,800","$18,800",0.0%
"Gorge Rd, Lilydale",RU1,210.3 ha,"$1,020,000","$1,170,000",14.7%
"Tyringham Rd, Moonpar",RU1,13.79 ha,"$366,000","$400,000",9.3%
"Glens Creek Rd, Nymboida",RU2,12.21 ha,"$260,000","$260,000",0.0%
"Armidale Rd, Tyringham",RU1,102.6 ha,"$1,300,000","$1,300,000",0.0%
"Clarence Way, Upper Copmanhurst",RU2,22.47 ha,"$250,000","$250,000",0.0%
"Greens Lane, Woodford Island",RU1,33.94 ha,"$585,000","$625,000",6.8%
"South Arm School Rd, Woodford Island",RU1,4046 m²,"$320,000","$320,000",0.0%
