Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Nullawarra St, Canbelego",RU1,1012 m²,$600,$600,0.0%
"Barrier Hwy, Cobar",RU1,9750 ha,"$1,458,000","$1,630,000",11.8%
"Lavinia St, Cobar",RU1,15.62 ha,"$97,200","$109,000",12.1%
"Grain Rd, Eremerang",RU1,8001.3 ha,"$3,057,000","$3,570,000",16.8%
"Tipping Way, Euabalong",RU1,1303 ha,"$1,566,000","$1,830,000",16.9%
"Coomeratta Rd, Noona",RU1,19637.881 ha,"$3,080,000","$3,080,000",0.0%
"Burthong Rd, Nymagee",RU1,8922 ha,"$2,084,000","$2,330,000",11.8%
"Fisher St, Nymagee",RU1,2023 m²,"$2,500","$2,500",0.0%
"Nelyambo Bridge Rd, Tilpa",RU1,9618 ha,"$2,923,000","$2,923,000",0.0%
"Wilgaroon Rd, Tindarey",RU1,4144 ha,"$582,000","$651,000",11.9%
