Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bygoo Rd, Ardlethan",RU4,5.337 ha,"$61,800","$61,800",0.0%
"Hayes Lane, Beckom",RU1,256.8 ha,"$1,620,000","$1,700,000",4.9%
"Campbells Lane, Coolamon",RU4,2.002 ha,"$300,000","$300,000",0.0%
"Gradys Lane, Coolamon",RU4,6.146 ha,"$408,000","$408,000",0.0%
"Tooyal Rd, Coolamon",RU1,3.598 ha,"$363,000","$363,000",0.0%
"Devlin Rd, Ganmain",RU1,193.1 ha,"$1,220,000","$1,220,000",0.0%
"Hill St, Ganmain",RU4,2.53 ha,"$94,500","$94,500",0.0%
"Easticks Lane, Marrar",RU1,166.3 ha,"$2,190,000","$2,190,000",0.0%
"Woodens Lane, Marrar",RU4,8.054 ha,"$201,000","$201,000",0.0%
"Bourke St, Matong",RU1,8.25 ha,"$109,000","$109,000",0.0%
"Walleroobie Rd, Walleroobie",RU1,410 ha,"$2,040,000","$2,040,000",0.0%
