Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Back Walgett Rd, Coonamble",RU1,593 ha,"$2,470,000","$2,470,000",0.0%
"Castlereagh Hwy, Coonamble",RU1,13.437 ha,"$5,040","$5,040",0.0%
"Castlereagh Hwy, Coonamble",RU1,10.36 ha,"$147,000","$147,000",0.0%
Coonamble,RU1,1070 ha,"$1,580,000","$1,650,000",4.4%
"Castlereagh Hwy, Gulargambone",RU1,2 m²,"$8,260","$8,260",0.0%
"Warrie St, Gulargambone",RU1,1745 m²,"$1,470","$1,470",0.0%
Gulargambone,RU1,10.51 ha,"$23,700","$23,700",0.0%
"Goorianawa Rd, Mount Tenandra",RU1,603.6 ha,"$1,530,000","$1,600,000",4.6%
"Quabothoo St, Quambone",RU1,5.792 ha,"$14,500","$14,500",0.0%
"Sandy Camp Rd, Quambone",RU1,1949.72 ha,"$2,020,000","$2,520,000",24.8%
