Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Adjungbilly Rd, Adjungbilly",RU1,22 ha,"$47,000","$47,000",0.0%
"Jugiong Rd, Cootamundra",RU4,6.372 ha,"$332,000","$365,000",9.9%
"Olympic Hwy, Cootamundra",RU1,10.839 ha,"$201,000","$187,000",-7.0%
"Rosehill Rd, Cootamundra",RU1,151.149 ha,"$1,630,000","$1,630,000",0.0%
"West Jindalee Rd, Cootamundra",RU1,5.825 ha,"$347,000","$364,000",4.9%
"O'Briens Rd, Gundagai",RU1,6.725 ha,"$31,000","$32,500",4.8%
"O'Briens Rd, Gundagai",RU1,3.815 ha,"$115,000","$120,000",4.4%
"Snowy Mountains Hwy, Mount Adrah",RU1,13.62 ha,"$217,000","$249,000",14.8%
"Yabtree Rd, Mundarlo",RU1,1282 ha,"$11,000,000","$11,000,000",0.0%
"Bridge St, Muttama",RU1,4046 m²,"$29,000","$30,400",4.8%
"Bethungra Rd, Nangus",RU1,131.9 ha,"$1,900,000","$1,900,000",0.0%
"Soldier Settlers Rd, Nangus",RU1,140.17 ha,"$3,200,000","$3,360,000",5.0%
"Wantiool St, Nangus",RU1,2.208 ha,"$95,400","$100,000",4.8%
"Happy Valley Rd, South Gundagai",RU4,2.468 ha,"$176,000","$202,000",14.8%
"Sandy Creek Rd, South Gundagai",RU1,196.48 ha,"$2,310,000","$2,420,000",4.8%
"Gilmours Lane, Stockinbingal",RU1,283.3 ha,"$2,750,000","$2,750,000",0.0%
"Old Wallendbeen Rd, Stockinbingal",RU1,8.201 ha,"$147,000","$147,000",0.0%
"Tumblong Reserve Rd, Tumblong",RU1,31.34 ha,"$496,000","$520,000",4.8%
"North Berthong Rd, Wallendbeen",RU1,219.67 ha,"$3,800,000","$3,800,000",0.0%
"Young St, Wallendbeen",RU1,6443 m²,"$106,000","$127,000",19.8%
