Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Alexander St, Auburn",E4,139.1 m²,"$136,000","$140,000",2.9%
"Chisholm Rd, Auburn",E4,558.7 m²,"$1,300,000","$1,400,000",7.7%
"Gilba Rd, Girraween",E4,5261 m²,"$5,490,000","$5,750,000",4.7%
"Mandoon Rd, Girraween",E4,1456 m²,"$2,050,000","$2,150,000",4.9%
"Woodstock St, Guildford",E4,6001.9 m²,"$6,500,000","$7,000,000",7.7%
"Birnie Ave, Lidcombe",E4,7813 m²,"$9,500,000","$9,500,000",0.0%
"East St, Lidcombe",E4,564.1 m²,"$1,500,000","$1,600,000",6.7%
"Basalt Rd, Pemulwuy",IN2,3.104 ha,"$26,000,000","$27,000,000",3.9%
"Reconciliation Rise, Pemulwuy",IN1,3.752 ha,"$32,200,000","$33,500,000",4.0%
"Sammut St, Smithfield",E4,1115 m²,"$1,850,000","$1,900,000",2.7%
"Sturt St, Smithfield",E4,4653 m²,"$5,120,000","$5,300,000",3.5%
"Nelson Rd, Yennora",E4,5.515 ha,"$44,800,000","$46,000,000",2.7%
