Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Caves Rd, Apsley",RU1,4.708 ha,"$194,000","$194,000",0.0%
"Eulalie Lane, Arthurville",RU1,24.92 ha,"$245,000","$245,000",0.0%
"Eulalie Lane, Arthurville",RU1,733.7 ha,"$418,000","$418,000",0.0%
"Gillinghall Rd, Bodangora",RU1,283.38 ha,"$1,790,000","$1,790,000",0.0%
"Spicer St, Bodangora",RU1,1.618 ha,"$25,300","$25,300",0.0%
"Dripstone Rd, Dripstone",RU1,296.4 ha,"$1,360,000","$1,360,000",0.0%
"Narromine Rd, Dubbo",RU4,52.82 ha,"$843,000","$1,090,000",29.3%
"Peak Hill Rd, Dubbo",RU2,11.07 ha,"$477,000","$477,000",0.0%
"Elong Elong Rd, Elong Elong",RU1,60 m²,"$44,800","$44,800",0.0%
"Geurie St, Elong Elong",RU1,6069 m²,"$42,700","$44,800",4.9%
"Golden Hwy, Elong Elong",RU1,36.57 ha,"$171,000","$171,000",0.0%
"Sweeneys Lane, Elong Elong",RU1,337.9 ha,"$1,440,000","$1,440,000",0.0%
"Boshes Creek Rd, Euchareena",RU1,518.5 ha,"$1,120,000","$1,230,000",9.8%
"Newell Hwy, Eumungerie",RU1,460.1 ha,"$719,000","$754,000",4.9%
"The Oaks Rd, Geurie",RU1,279 ha,"$1,770,000","$1,850,000",4.5%
"Tarwong Lane, Maryvale",RU1,11.03 ha,"$418,000","$438,000",4.8%
"Burrendong Way, Mumbil",RU1,432.78 ha,"$1,130,000","$1,130,000",0.0%
"Fashions Mount Rd, Mumbil",RU1,10.12 ha,"$173,000","$173,000",0.0%
"Renshaw Mcgirr Way, North Yeoval",RU1,264.5 ha,"$1,720,000","$1,800,000",4.7%
"Somerset Dr, North Yeoval",RU1,2.023 ha,"$69,400","$69,400",0.0%
"Bell St, Stuart Town",RU1,3314 m²,"$9,540","$9,540",0.0%
"Springwood Rd, Wambangalang",RU1,763.6 ha,"$1,350,000","$1,350,000",0.0%
"Curtis St, Wellington",RU4,3.873 ha,"$127,000","$133,000",4.7%
"Quamby Rd, Westella",RU1,216.7 ha,"$1,280,000","$1,280,000",0.0%
"Westella Rd, Wongarbon",RU1,21.45 ha,"$352,000","$352,000",0.0%
