Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Marshdale Rd, Alison",RU1,60.882 ha,"$1,700,000","$1,900,000",11.8%
"Chichester Dam Rd, Bandon Grove",RU1,2845 m²,"$145,000","$180,000",24.1%
"Salisbury Rd, Bendolba",RU1,1233 m²,"$180,000","$190,000",5.6%
"Clarence Town Rd, Brookfield",RU1,5.07 ha,"$598,000","$620,000",3.7%
"Allyn River Rd, East Gresford",RU1,3.864 ha,"$645,000","$680,000",5.4%
"Clements Rd, East Gresford",RU1,10.12 ha,"$725,000","$725,000",0.0%
"Old Pine Brush Rd, Glen William",RU1,27.61 ha,"$1,340,000","$1,400,000",4.5%
"Paterson River Rd, Gresford",RU1,3.014 ha,"$500,000","$525,000",5.0%
"Hilldale Rd, Hilldale",RU1,2750 m²,"$245,000","$245,000",0.0%
"Wallaringa Rd, Wallarobba",RU1,68.59 ha,"$1,190,000","$1,300,000",9.2%
