Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Morrisey St, Balldale",RU1,3.847 ha,"$129,000","$125,000",-3.1%
"Enfield St, Corowa",RU1,4.849 ha,"$380,000","$365,000",-4.0%
"Narrow Plains Rd, Daysdale",RU1,2.428 ha,"$65,000","$70,000",7.7%
"Lavis Rd, Hopefield",RU1,200.2 ha,"$2,660,000","$2,170,000",-18.4%
"Kenya Rd, Howlong",RU1,126.48 ha,"$1,950,000","$1,650,000",-15.4%
"Kywong Howlong Rd, Howlong",RU1,5.596 ha,"$420,000","$420,000",0.0%
"Park St, Lowesdale",RU1,2.023 ha,"$82,000","$82,000",0.0%
"Newell Hwy, Morundah",RU1,163.36 ha,"$805,000","$805,000",0.0%
"Tocumwal Rd, Mulwala",RU1,9.111 ha,"$200,000","$190,000",-5.0%
"Bonnie Doon Rd, Oaklands",RU1,454.133 ha,"$3,360,000","$3,360,000",0.0%
"Ferndale Rd, Rand",RU1,202.3 ha,"$1,770,000","$1,770,000",0.0%
"Humeden Rd, Ringwood",RU1,259.02 ha,"$3,470,000","$2,900,000",-16.4%
"Boat Rock Rd, Savernake",RU1,361.749 ha,"$3,500,000","$3,300,000",-5.7%
"Riverina Hwy, Savernake",RU1,2023 m²,"$16,900","$17,000",0.6%
"Riverina Hwy, Savernake",RU1,337.17 ha,"$4,020,000","$3,880,000",-3.5%
"Bidgeemia Rd, Urana",RU1,472.09 ha,"$2,610,000","$2,610,000",0.0%
"Dunraven Rd, Urana",RU1,1268.7 ha,"$905,000","$905,000",0.0%
