Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Rodgers St, Bedgerabong",RU1,4047 m²,"$16,400","$16,400",0.0%
"Amaroo Way, Cookamidgera",RU1,50.32 ha,"$212,000","$212,000",0.0%
"Parkes Eugowra Rd, Cookamidgera",RU1,289.1 ha,"$668,000","$668,000",0.0%
"Edols Rd, Corinella",RU1,412.17 ha,"$2,170,000","$2,170,000",0.0%
"Hoopers Rd, Forbes",RU1,234.6 ha,"$1,330,000","$1,330,000",0.0%
"Lachlan Valley Way, Forbes",RU4,1.255 ha,"$144,000","$144,000",0.0%
"Rainville Rd, Forbes",RU1,348.1 ha,"$1,870,000","$1,870,000",0.0%
"The Escort Way , Forbes",R,4.783 ha,"$239,000","$239,000",0.0%
"Timaroo Lane, Forbes",RU1,119.3 ha,"$812,000","$812,000",0.0%
"Wirrinya Rd, Forbes",RU1,10.18 ha,"$306,000","$306,000",0.0%
"Mount Tallabung Rd, Wirrinya",RU1,250 m²,"$33,600","$33,600",0.0%
"Henry Parkes Way, Yarrabandai",RU1,9.712 ha,"$7,060","$7,060",0.0%
"Henry Parkes Way, Yarrabandai",RU1,518 ha,"$1,140,000","$1,140,000",0.0%
