Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Maybole Rd, Ben Lomond",RU1,217.72 ha,"$2,720,000","$2,720,000",0.0%
"Simpson St, Deepwater",RU1,2208 m²,"$58,000","$58,000",0.0%
"Morven Rd, Dundee",RU1,40.09 ha,"$180,000","$182,000",1.1%
"New England Hwy, Dundee",RU1,3.645 ha,"$19,600","$20,000",2.0%
"Rangers Valley Rd, Dundee",RU1,216.2 ha,"$1,330,000","$1,330,000",0.0%
"Gulf Rd, Emmaville",RU1,206.5 ha,"$343,000","$345,000",0.6%
"Strathbogie Rd, Emmaville",RU1,8094 m²,"$69,300","$70,000",1.0%
"Grafton St, Glen Innes",RU1,1.214 ha,"$197,000","$200,000",1.5%
"Glen Athol Rd, Red Range",RU1,155.481 ha,"$1,680,000","$1,680,000",0.0%
"Lawler Rd, Red Range",RU1,57.38 ha,"$561,000","$565,000",0.7%
