Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Brayton Rd, Brayton",RU2,40 ha,"$605,000","$605,000",0.0%
"Canyonleigh Rd, Brayton",RU2,387.35 ha,"$3,580,000","$3,930,000",9.8%
"Carrick Rd, Brayton",RU1,142.4 ha,"$770,000","$770,000",0.0%
"Kimridge Lane, Brayton",RU1,10 ha,"$548,000","$780,000",42.3%
"Currawang Rd, Currawang",RU1,587.397 ha,"$6,570,000","$7,220,000",9.9%
"Bridge St, Goulburn",RU2,7719 m²,"$272,000","$272,000",0.0%
"Hercules St, Goulburn",RU2,1011.83 m²,"$122,000","$122,000",0.0%
"Mazamet Rd, Goulburn",RU1,5.455 ha,"$960,000","$960,000",0.0%
"Sloane St, Goulburn",RU2,5.187 ha,"$139,000","$139,000",0.0%
"Kooringaroo Rd, Gundary",RU1,38.44 ha,"$713,000","$784,000",10.0%
"Braidwood Rd, Lake Bathurst",RU2,16.19 ha,"$416,000","$416,000",0.0%
"Glynmar Rd, Marulan",RU2,70.02 ha,"$607,000","$607,000",0.0%
"Marulan South Rd, Marulan",RU1,2.998 ha,"$54,700","$60,100",9.9%
"Gurrundah Rd, Mummel",RU1,198.3 ha,"$2,460,000","$2,700,000",9.8%
Mummell,RU1,2.761 ha,"$53,900","$53,900",0.0%
"Merilla Lane, Parkesbourne",RU1,44.15 ha,"$869,000","$955,000",9.9%
"Muffets Rd, Quialigo",RU2,42.74 ha,"$605,000","$574,000",-5.1%
"Towrang Rd, Towrang",RU2,12.09 ha,"$532,000","$532,000",0.0%
"Masons And Owens Rd, Windellama",RU2,172 ha,"$892,000","$981,000",10.0%
