Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Riverina Hwy, Bungowannah",RU1,239 ha,"$6,500,000","$6,800,000",4.6%
"Whyte Rd, Burrumbuttock",RU1,21.31 ha,"$630,000","$505,000",-19.8%
"Coppabella Rd, Coppabella",RU1,23.17 ha,"$60,500","$51,500",-14.9%
"Back Henty Rd, Culcairn",RU1,8.094 ha,"$440,000","$390,000",-11.4%
"Coach Rd, Culcairn",RU1,19.85 ha,"$550,000","$500,000",-9.1%
"Culcairn Cemetery Rd, Culcairn",RU1,27.53 ha,"$270,000","$270,000",0.0%
"Heathcote Lane, Culcairn",RU4,6.498 ha,"$250,000","$250,000",0.0%
"Odewahns Rd, Culcairn",RU1,218.9 ha,"$3,800,000","$3,900,000",2.6%
"Gerogery Rd, Gerogery",RU4,8.039 ha,"$420,000","$420,000",0.0%
"Glenellen Rd, Gerogery",RU1,43.54 ha,"$1,100,000","$1,100,000",0.0%
"Glenellen Rd, Glenellen",RU1,4.296 ha,"$330,000","$405,000",22.7%
"Lubkes Rd, Henty",RU1,258.99 ha,"$4,200,000","$4,300,000",2.4%
"Jingellic Rd, Holbrook",RU1,1.264 ha,"$360,000","$325,000",-9.7%
"Molkentin Rd, Jindera",RU4,4.049 ha,"$490,000","$500,000",2.0%
"Urana Rd, Jindera",RU4,40.56 ha,"$1,620,000","$1,620,000",0.0%
"River Rd, Jingellic",RU1,135.38 ha,"$3,000,000","$3,850,000",28.3%
"Yarra Yarra Rd, Little Billabong",RU1,150.1 ha,"$3,600,000","$2,900,000",-19.4%
"Hume Hwy, Mullengandra",RU1,67.17 ha,"$950,000","$950,000",0.0%
"Hume Hwy, Mullengandra",RU1,205.5 ha,"$3,600,000","$3,600,000",0.0%
"Back Walbundrie Rand Rd, Rand",RU1,208.4 ha,"$3,250,000","$2,400,000",-26.2%
"Tunnel Rd, Talmalmo",RU1,37.23 ha,"$300,000","$355,000",18.3%
"Daysdale Rd, Walbundrie",RU1,230.6 ha,"$3,340,000","$2,450,000",-26.7%
"Lookout Rd, Walla Walla",RU4,6.389 ha,"$420,000","$420,000",0.0%
"Woomargama Way, Woomargama",RU1,8018 m²,"$230,000","$213,000",-7.4%
"River Rd, Wymah",RU1,55.42 ha,"$450,000","$450,000",0.0%
