Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Crowleys Lane, Agnes Banks",RU4,2 ha,"$1,500,000","$1,500,000",0.0%
"Bilpin Springs Rd, Bilpin",RU2,4.528 ha,"$900,000","$960,000",6.7%
"Blaxlands Ridge Rd, Blaxlands Ridge",RU4,4.072 ha,"$975,000","$975,000",0.0%
"Cornwallis Rd, Cornwallis",RU2,12.14 ha,"$1,140,000","$1,140,000",0.0%
"Holmes Dr, Cumberland Reach",RU2,2719 m²,"$730,000","$730,000",0.0%
"Coobah Rd, East Kurrajong",RU1,2.335 ha,"$930,000","$930,000",0.0%
"Freemans Reach Rd, Freemans Reach",RU2,8.75 ha,"$1,000,000","$1,000,000",0.0%
"Hibberts Lane, Freemans Reach",RU2,2.04 ha,"$1,140,000","$1,200,000",5.3%
"Reserve Rd, Freemans Reach",RU1,2.051 ha,"$1,130,000","$1,150,000",1.8%
"Terrace Rd, Freemans Reach",RU2,3573 m²,"$710,000","$715,000",0.7%
"Bells Rd, Grose Vale",RU4,2.997 ha,"$1,160,000","$1,200,000",3.5%
"Greggs Rd, Kurrajong",RU1,1.586 ha,"$1,000,000","$1,020,000",2.0%
"Phipps Rd, Maraylya",RU4,2.025 ha,"$1,500,000","$1,500,000",0.0%
"Hanckel Rd, Oakville",RU4,2.025 ha,"$3,100,000","$2,950,000",-4.8%
"Fairey Rd, South Windsor",RU1,2.023 ha,"$1,440,000","$1,500,000",4.2%
"George St, South Windsor",RU4,2.427 ha,"$1,200,000","$1,300,000",8.3%
"Wallace Rd, Vineyard",RU4,8290 m²,"$2,000,000","$2,000,000",0.0%
"Pitt Town Ferry Rd, Wilberforce",RU2,2.186 ha,"$1,170,000","$1,220,000",4.3%
"Hillcrest Rd, Yarramundi",RU1,10.207 ha,"$1,450,000","$1,450,000",0.0%
