Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Hume Hwy, Berremangra",RU1,16 ha,"$320,000","$320,000",0.0%
"Hopefield Lane, Boorowa",RU1,358.135 ha,"$3,090,000","$3,090,000",0.0%
"Rugby Rd, Boorowa",RU1,64.75 ha,"$378,000","$378,000",0.0%
"Weedallion Rd, Bribbaree",RU1,8094 m²,"$13,100","$13,100",0.0%
"Weedallion Rd, Bribbaree",RU1,312.85 ha,"$2,660,000","$2,660,000",0.0%
"Roberts Rd, Crowther",RU1,1000 m²,"$7,500","$7,500",0.0%
"Burley Griffin Way, Galong",RU1,4.398 ha,"$408,000","$408,000",0.0%
"Caringa Rd, Godfreys Creek",RU1,2.032 ha,"$178,000","$186,000",4.5%
"Godfreys Greek Rd, Godfreys Creek",RU1,419.486 ha,"$1,370,000","$1,640,000",19.7%
"Lachlan Valley Way, Godfreys Creek",RU1,369.186 ha,"$2,860,000","$3,140,000",9.8%
"Rossi Rd, Godfreys Creek",RU1,145.5 m²,"$3,970","$3,970",0.0%
"Barwang Rd, Harden",RU4,2.024 ha,"$173,000","$173,000",0.0%
"East St, Harden",RU1,750 m²,"$15,700","$15,700",0.0%
"Mcmahons Reef Rd, Harden",RU1,205.9 ha,"$3,570,000","$3,570,000",0.0%
"Hilltop Rd, Jugiong",RU1,21.08 ha,"$353,000","$353,000",0.0%
"Hilltop Rd, Jugiong",RU1,271.8 ha,"$2,760,000","$2,760,000",0.0%
"Campbells Rd, Maimuru",RU1,9.754 ha,"$346,000","$346,000",0.0%
"Campbells Rd, Maimuru",RU1,89.9 ha,"$1,810,000","$1,810,000",0.0%
"Battery Rd, Mount Collins",RU1,41 ha,"$626,000","$683,000",9.1%
"Murringo Rd, Murringo",RU1,6.88 ha,"$234,000","$234,000",0.0%
"Murringo Gap Rd, Murringo",RU1,355.24 ha,"$2,800,000","$3,080,000",10.0%
"Araluen Rd, Murrumburrah",RU1,2.989 ha,"$304,000","$304,000",0.0%
"Bungola Rd, Nubba",RU1,267 ha,"$5,290,000","$5,290,000",0.0%
"Wargeila Rd, Rye Park",RU1,178.1 ha,"$1,110,000","$1,110,000",0.0%
"Bribbaree Rd, Thuddungra",RU1,312 ha,"$4,190,000","$3,770,000",-10.0%
"Millers Rd, Wirrimah",RU1,12 ha,"$272,000","$272,000",0.0%
"Back Creek Rd, Wombat",RU1,17.66 ha,"$538,000","$511,000",-5.0%
"Race Creek Rd, Wombat",RU4,5.716 ha,"$204,000","$204,000",0.0%
"Iandra St, Young",RU1,9.158 ha,"$328,000","$328,000",0.0%
"Moppity Rd, Young",RU4,4 ha,"$309,000","$309,000",0.0%
"Moppity Rd, Young",RU1,224.28 ha,"$4,030,000","$4,030,000",0.0%
