Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Milton St, Ashfield",E4,398.3 m²,"$1,950,000","$2,100,000",7.7%
"Duke St, Balmain East",W4,255.8 m²,"$3,660,000","$3,660,000",0.0%
"Hordern Pl, Camperdown",IN2,1309 m²,"$4,200,000","$4,200,000",0.0%
"Pyrmont Bridge Rd, Camperdown",IN2,151.8 m²,"$1,110,000","$1,110,000",0.0%
"Fred St, Lilyfield",E4,602.7 m²,"$2,470,000","$2,470,000",0.0%
"Carrington Rd, Marrickville",E4,430 m²,"$2,050,000","$2,050,000",0.0%
"Junction St, Marrickville",E4,234 m²,"$1,120,000","$1,210,000",8.0%
"Railway Pde, Marrickville",E4,455.3 m²,"$2,050,000","$2,210,000",7.8%
"Renwick St, Marrickville",E4,986.7 m²,"$3,000,000","$3,240,000",8.0%
"Smith St, Marrickville",E4,94.8 m²,"$750,000","$810,000",8.0%
"Wellington St, Rozelle",E4,183.4 m²,"$1,200,000","$1,200,000",0.0%
"Burrows Rd, St Peters",E4,1527 m²,"$5,000,000","$5,400,000",8.0%
"Smith St, Summer Hill",E4,3311 m²,"$12,000,000","$12,000,000",0.0%
