Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bonshaw Rd, Ashford",RU1,2.719 ha,"$62,700","$68,900",9.9%
"Voss Rd, Ashford",RU1,257.6 ha,"$600,000","$630,000",5.0%
"Abbotts Lane, Delungra",RU1,139.6 ha,"$1,410,000","$1,410,000",0.0%
"Haywood Rd, Delungra",RU1,1183.821 ha,"$1,560,000","$1,560,000",0.0%
"Grants Rd, Elsmore",RU1,1 ha,"$9,100","$9,100",0.0%
"Melia Cl, Gilgai",RU1,5.7 ha,"$170,000","$170,000",0.0%
"Old Bundarra Rd, Gilgai",RU1,6.878 ha,"$250,000","$250,000",0.0%
"Howell Rd, Howell",RU1,296.6 ha,"$175,000","$175,000",0.0%
"Howell Rd, Howell",RU1,380.8 ha,"$575,000","$575,000",0.0%
"Copeton Dam Rd, Inverell",RU1,19.84 ha,"$305,000","$335,000",9.8%
"Kings Plains Rd, Inverell",RU1,42.04 ha,"$455,000","$455,000",0.0%
"Mcfertridge Lane, Inverell",RU1,3.416 ha,"$210,000","$262,000",24.8%
"Croye Rd, Kings Plains",RU1,552.7 ha,"$2,660,000","$2,660,000",0.0%
"Mount Russell Rd, Mount Russell",RU1,19.97 ha,"$220,000","$275,000",25.0%
"Spring Mountain Rd, Spring Mountain",RU1,652.8 ha,"$2,550,000","$2,550,000",0.0%
"Howell Rd, Tingha",RU1,1.007 ha,"$26,000","$26,000",0.0%
"Coolatai Rd, Wallangra",RU1,564.6 ha,"$2,130,000","$2,230,000",4.7%
