Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Macleay Valley Way, Barraganyatti",RU2,19.9 ha,"$325,000","$325,000",0.0%
"Balls Rd, Bellbrook",RU2,251.8 ha,"$510,000","$510,000",0.0%
"Belmore River Left Bank Rd, Belmore River",RU1,24.42 ha,"$600,000","$620,000",3.3%
"Chain O Ponds Rd, Collombatti",RU1,9.614 ha,"$320,000","$320,000",0.0%
"Kemps Accs, Collombatti",RU2,10.05 ha,"$310,000","$310,000",0.0%
"Rocky Rd, Collombatti",RU4,8.173 ha,"$290,000","$300,000",3.5%
"Maria River Rd, Crescent Head",RU1,40.58 ha,"$500,000","$520,000",4.0%
"Maria River Rd, Crescent Head",RU2,41.72 ha,"$550,000","$575,000",4.6%
"Battles Outlet Rd, Dondingalong",RU1,16.32 ha,"$345,000","$360,000",4.4%
"Pipers Creek Rd, Dondingalong",RU2,17.57 ha,"$290,000","$290,000",0.0%
"Marys Bay Rd, Euroka",RU1,2.846 ha,"$370,000","$380,000",2.7%
"Spooners Ave, Greenhill",RU2,10.12 ha,"$315,000","$315,000",0.0%
"Smiths Creek Rd, Kundabung",RU2,11.67 ha,"$385,000","$415,000",7.8%
"Smithtown Rd, Seven Oaks",RU1,2.023 ha,"$350,000","$360,000",2.9%
"Settlers Way, South Kempsey",RU4,8 ha,"$500,000","$500,000",0.0%
"Rocky Gully Rd, Toorooka",RU2,49.5 ha,"$295,000","$295,000",0.0%
"Old Station Rd, Verges Creek",RU2,14.38 ha,"$450,000","$460,000",2.2%
"Eight Mile Creek Rd, Wittitrin",RU2,40.47 ha,"$330,000","$330,000",0.0%
"Maple Rd, Yarrahapinni",RU1,6.238 ha,"$440,000","$450,000",2.3%
