Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Kyogle Rd, Cawongla",RU4,5.537 ha,"$400,000","$410,000",2.5%
"Ettrick Rd, Ettrick",RU1,1.978 ha,"$280,000","$280,000",0.0%
"Sargents Rd, Homeleigh",RU1,23.91 ha,"$580,000","$550,000",-5.2%
"Lofts Pinnacle Rd, Lillian Rock",RU1,3.885 ha,"$400,000","$420,000",5.0%
"Sandilands St, Mallanganee",RU1,2555 m²,"$52,000","$55,000",5.8%
"Sandilands St, Mallanganee",RU1,74.13 ha,"$740,000","$850,000",14.9%
"Bruxner Hwy, Piora",RU1,201.6 ha,"$875,000","$875,000",0.0%
"Koala Gr, Roseberry Creek",RU1,47.99 ha,"$450,000","$450,000",0.0%
"Bruxner Hwy, Sandilands",RU1,2.43 ha,"$140,000","$158,000",12.9%
"Wallaby Rd, Tabulam",RU1,44.14 ha,"$250,000","$270,000",8.0%
