Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bobadah Rd, Bobadah",RU1,2452 ha,"$2,290,000","$2,400,000",4.8%
"Henry Parkes Way, Condobolin",RU1,1236 ha,"$1,830,000","$1,920,000",4.9%
"Waitohi Lane, Condobolin",RU1,265 ha,"$1,030,000","$1,130,000",9.7%
"Willow Bend Rd, Condobolin",RU1,22.2 ha,"$173,000","$193,000",11.6%
"Stuart Dr, Curlew Waters",RU1,1.421 ha,"$23,000","$24,100",4.8%
"Carlisle-Trundle Rd, Fifield",RU1,518 ha,"$1,110,000","$1,110,000",0.0%
"Fifield Rd, Fifield",RU1,4047 m²,"$2,940","$2,940",0.0%
"Lachlan Valley Way, Kiacatoo",RU1,2352 m²,"$6,950","$7,290",4.9%
"Lachlan Valley Way, Lake Cargelligo",RU1,36.441 ha,"$71,900","$71,900",0.0%
"Billandry Rd, Tottenham",RU1,777 ha,"$1,000,000","$1,250,000",25.0%
"The Bogan Way , Tottenham",RU1,4.851 ha,"$11,700","$11,700",0.0%
"Tullibigeal Rd, Tullibigeal",RU1,865.188 ha,"$2,160,000","$2,800,000",29.6%
