Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Rankin Rd, Bexhill",RU1,5.421 ha,"$65,700","$66,000",0.5%
"Corndale Rd, Corndale",RU1,40.47 ha,"$970,000","$900,000",-7.2%
"Hunters Hill Rd, Corndale",RU1,3.464 ha,"$510,000","$560,000",9.8%
"Oakland Rd, East Coraki",RU1,73.6 ha,"$765,000","$725,000",-5.2%
"Pinchin Rd, Goolmangar",RU1,1.175 ha,"$385,000","$400,000",3.9%
"Alphadale Rd, Lindendale",RU1,2.023 ha,"$550,000","$620,000",12.7%
"Lindendale Rd, Lindendale",RU1,18.74 ha,"$1,000,000","$1,050,000",5.0%
"Blade Rd, Nimbin",RU1,44.09 ha,"$745,000","$660,000",-11.4%
"Wotherspoon St, North Lismore",RU2,513.3 m²,"$60,000","$54,000",-10.0%
"Tuckurimba Rd, Tuckurimba",RU1,2.023 ha,"$405,000","$450,000",11.1%
