Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Glen Alice Rd, Bogee",RU2,42.61 ha,"$374,000","$390,000",4.3%
"Castlereagh Hwy, Capertee",RU1,16.02 ha,"$283,000","$300,000",6.0%
"Glen Davis Rd, Capertee",RU1,63.13 ha,"$549,000","$560,000",2.0%
"Dark Corner Rd, Dark Corner",RU2,161.9 ha,"$897,000","$897,000",0.0%
"Table Rock Rd, Ganbenang",RU2,219.4 ha,"$1,820,000","$1,820,000",0.0%
"Glen Alice Rd, Glen Alice",RU1,198.499 ha,"$1,170,000","$1,170,000",0.0%
"Warrool St, Glen Davis",RU1,1157.2 m²,"$34,800","$35,800",2.9%
"Jenolan Caves Rd, Hampton",RU2,10.12 ha,"$649,000","$649,000",0.0%
"Blackheath Creek Rd, Kanimbla",RU1,52.62 ha,"$1,100,000","$1,100,000",0.0%
"Sunny Corner Rd, Meadow Flat",RU1,11.45 ha,"$649,000","$595,000",-8.3%
"Bathurst St, Newnes",RU2,973.8 m²,"$30,600","$27,500",-10.1%
"Jerrys Meadow Rd, Sodwalls",RU1,164.6 ha,"$2,290,000","$2,290,000",0.0%
