Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Amerys Lane, Boree Creek",RU1,349.1 ha,"$1,970,000","$2,060,000",4.6%
"Spanish Ave, Lockhart",RU1,2182 m²,"$45,200","$45,200",0.0%
"Henty Pleasant Hills Rd, Munyabla",RU1,219.86 ha,"$2,950,000","$2,800,000",-5.1%
"Mahonga Rd, Rand",RU1,33.52 ha,"$123,000","$123,000",0.0%
"Bulloc Hill Rd, The Rock",RU1,53.64 ha,"$298,000","$298,000",0.0%
"Bulloc Hill Rd, The Rock",RU1,207.221 ha,"$2,810,000","$2,810,000",0.0%
"Gormly Lane, The Rock",RU1,228.7 ha,"$2,320,000","$2,430,000",4.7%
"Island Bend Lane, The Rock",RU1,9282 m²,"$130,000","$130,000",0.0%
"The Rock Mangoplah Rd, The Rock",RU1,45.9 ha,"$396,000","$415,000",4.8%
"The Rock-Collingullie Rd, The Rock",RU1,61.27 ha,"$655,000","$655,000",0.0%
"Western Rd, Urangeline",RU1,12.95 ha,"$82,800","$82,800",0.0%
"Western Rd, Urangeline",RU1,16.63 ha,"$128,000","$128,000",0.0%
"Bidgeemia Rd, Urangeline East",RU1,203.11 ha,"$1,410,000","$1,550,000",9.9%
"Mcrories Rd, Yerong Creek",RU1,129.5 ha,"$1,560,000","$1,560,000",0.0%
