Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Duckenfield Rd, Duckenfield",RU1,3 ha,"$1,050,000","$1,050,000",0.0%
"Maitland Vale Rd, Lambs Valley",RU2,11.06 ha,"$1,000,000","$1,000,000",0.0%
"Old North Rd, Lochinvar",RU2,5.521 ha,"$1,020,000","$1,080,000",5.9%
"Station Lane, Lochinvar",RU2,122.2 ha,"$2,300,000","$2,300,000",0.0%
"Mount Vincent Rd, Louth Park",RU2,1.332 ha,"$900,000","$900,000",0.0%
"Luskintyre Rd, Luskintyre",RU2,40.01 ha,"$1,500,000","$1,500,000",0.0%
"Luskintyre Rd, Luskintyre",RU1,112.9 ha,"$2,900,000","$2,900,000",0.0%
"Hannan St, Maitland",RU1,480.6 m²,"$310,000","$320,000",3.2%
"Dickenson Rd, Melville",RU1,2.43 ha,"$750,000","$750,000",0.0%
"Oakhampton Rd, Oakhampton",RU1,29.81 ha,"$1,500,000","$1,600,000",6.7%
"Morpeth Rd, Raworth",RU1,4.74 ha,"$760,000","$760,000",0.0%
