Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Gordons Gully Rd, Botobolar",RU1,64.745 ha,"$350,000","$364,000",4.0%
"Coxs Creek Rd, Coxs Creek",RU1,105.4 ha,"$283,000","$297,000",5.0%
"Springfield Lane, Galambine",RU1,272.07 ha,"$2,010,000","$2,010,000",0.0%
"Martins Crossing Rd, Gulgong",RU1,29.95 ha,"$519,000","$535,000",3.1%
"Tara Loop Rd, Ilford",RU1,40.85 ha,"$404,000","$412,000",2.0%
"Upper Mebul Rd, Mebul",RU1,245 ha,"$1,750,000","$1,750,000",0.0%
"Melrose Rd, Mount Frome",RU4,30.62 ha,"$800,000","$800,000",0.0%
"Erudgere Lane, Piambong",RU1,198.4 ha,"$989,000","$989,000",0.0%
"Green Gully Rd, Queens Pinch",RU1,84.02 ha,"$374,000","$374,000",0.0%
"Castlereagh Hwy, Running Stream",RU1,282.98 ha,"$999,000","$999,000",0.0%
"Bylong Valley Way, Rylstone",RU1,236.8 ha,"$1,090,000","$1,090,000",0.0%
"Adelong Rd, Tallawang",RU1,29.67 ha,"$450,000","$450,000",0.0%
"Durridgere Rd, Turill",RU1,259 ha,"$1,010,000","$1,010,000",0.0%
"Upper Bylong Rd, Upper Bylong",RU1,209.18 ha,"$893,000","$893,000",0.0%
