Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Barrington West Rd, Barrington",RU1,84.2 ha,"$1,520,000","$1,600,000",5.3%
"Manning Point Rd, Bohnock",RU1,6.298 ha,"$470,000","$470,000",0.0%
"Boolambayte Rd, Boolambayte",RU2,12.49 ha,"$428,000","$445,000",4.0%
"The Bucketts Way , Booral",RU2,16.04 ha,"$920,000","$950,000",3.3%
"Little Bunyah Rd, Bucca Wauka",RU1,81 ha,"$758,000","$775,000",2.2%
"Old Inn Rd, Bulahdelah",RU2,50.37 ha,"$483,000","$530,000",9.7%
"High St, Bundabah",RU2,1214.24 m²,"$70,000","$80,000",14.3%
"Sugar Creek Rd, Bungwahl",RU2,10.19 ha,"$715,000","$740,000",3.5%
"The Bucketts Way , Burrell Creek",RU1,4.118 ha,"$402,000","$400,000",-0.5%
"Nowendoc Rd, Caffreys Flat",RU1,40.54 ha,"$335,000","$350,000",4.5%
"Nowendoc Rd, Cooplacurripa",RU1,35.51 ha,"$304,000","$305,000",0.3%
"Scone Rd, Copeland",RU1,1012 m²,"$95,000","$110,000",15.8%
"The Bucketts Way , Craven",RU1,1695 m²,"$101,000","$101,000",0.0%
"Farmborough Cl, Cundletown",RU1,8495 m²,"$260,000","$275,000",5.8%
"Newtons Rd, Dumaresq Island",RU1,11.21 ha,"$1,060,000","$1,060,000",0.0%
"Avalon Rd, Dyers Crossing",RU4,9.744 ha,"$460,000","$460,000",0.0%
"Dargavilles Rd, Dyers Crossing",RU1,14.97 ha,"$485,000","$485,000",0.0%
"Colling Rd, Elands",RU1,40 ha,"$325,000","$325,000",0.0%
"Failford Rd, Failford",RU2,3.035 ha,"$600,000","$600,000",0.0%
"Glenthorne Rd, Glenthorne",RU1,4047 m²,"$335,000","$335,000",0.0%
"Kookaburra Dr, Glenthorne",RU1,905 m²,"$200,000","$200,000",0.0%
"Deep Creek Rd, Hannam Vale",RU1,3.8 ha,"$475,000","$500,000",5.3%
"The Bucketts Way , Krambach",RU1,4.725 ha,"$330,000","$350,000",6.1%
"Lansdowne Rd, Lansdowne",RU1,5.16 ha,"$450,000","$450,000",0.0%
"The Lakes Way , Mayers Flat",RU2,27.86 ha,"$650,000","$650,000",0.0%
"Moto Rd, Moto",RU1,23.18 ha,"$433,000","$433,000",0.0%
"Nowendoc Rd, Mount George",RU1,1012 m²,"$82,000","$90,000",9.8%
"Nowendoc Rd, Mount George",RU1,38.9 ha,"$375,000","$400,000",6.7%
"Nowendoc Rd, Mount George",RU1,41.24 ha,"$525,000","$477,000",-9.1%
"Glen Ora Rd, Nabiac",RU2,28.62 ha,"$550,000","$550,000",0.0%
"Nevilles Rd, Nooroo",RU2,42.05 ha,"$610,000","$650,000",6.6%
"Halloran Rd, North Arm Cove",RU2,42.02 ha,"$950,000","$950,000",0.0%
"Tingha St, North Arm Cove",RU2,777.8 m²,"$36,000","$37,000",2.8%
"Cowans Lane, Oxley Island",RU1,4.047 ha,"$485,000","$475,000",-2.1%
"Thomas Lane, Oxley Island",RU1,4.17 ha,"$1,160,000","$1,160,000",0.0%
"Warri St, Pindimar",RU2,1897 m²,"$82,500","$86,000",4.2%
"Tritton Rd, Possum Brush",RU1,10.14 ha,"$515,000","$515,000",0.0%
"The Lakes Way , Rainbow Flat",RU1,12.3 ha,"$720,000","$720,000",0.0%
"Cedar Party Rd, Taree",RU1,4.633 ha,"$370,000","$370,000",0.0%
"Dyballs Lane, Taree",RU1,11.82 ha,"$856,000","$856,000",0.0%
"Wingham Rd, Taree",RU1,556.4 m²,"$172,000","$172,000",0.0%
"Bight Rd, The Bight",RU1,22.11 ha,"$940,000","$940,000",0.0%
"Lagari Rd, The Bight",RU4,4.047 ha,"$440,000","$440,000",0.0%
"Queen St, The Branch",RU2,6069 m²,"$65,000","$65,000",0.0%
"Callaghans Creek Rd, Tiri",RU1,194.6 ha,"$450,000","$450,000",0.0%
"The Bucketts Way , Titaatee Creek",RU1,12.35 ha,"$375,000","$380,000",1.3%
"The Bucketts Way , Tugrabakh",RU1,89.17 ha,"$980,000","$1,150,000",17.4%
"Wallanbah Rd, Wallanbah",RU1,132 ha,"$870,000","$885,000",1.7%
"Mount Pleasant Rd, Wherrol Flat",RU1,41 ha,"$415,000","$430,000",3.6%
"Apanie Cl, Wingham",RU1,4607 m²,"$294,000","$295,000",0.3%
"Bulga Rd, Wingham",RU1,5.005 ha,"$355,000","$372,000",4.8%
"Combined St, Wingham",RU1,1012 m²,"$107,000","$115,000",7.5%
"Newmans Rd, Wootton",RU2,5.103 ha,"$480,000","$500,000",4.2%
