Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Berrigan Rd, Berrigan",RU1,260.5 ha,"$1,620,000","$1,620,000",0.0%
"Boyd Lane, Bundure",RU1,1694.16 ha,"$3,370,000","$3,370,000",0.0%
"Leonard Rd, Bundure",RU1,468.2 ha,"$1,090,000","$1,090,000",0.0%
"Citrus Dr, Coleambally",RU1,36.7 ha,"$150,000","$172,000",14.7%
"Culley Rd, Coleambally",RU1,215.1 ha,"$956,000","$1,120,000",17.2%
"Egan Rd, Coleambally",RU1,2.512 ha,"$44,200","$44,200",0.0%
"Harveys Well Rd, Coleambally",RU1,492.34 ha,"$995,000","$995,000",0.0%
"Jimmy Cull Rd, Coleambally",RU1,7.6 ha,"$74,400","$74,400",0.0%
"Kidman Way, Coleambally",RU1,269.3 ha,"$1,240,000","$1,370,000",10.5%
"Mclarty Rd, Coleambally",RU1,221.6 ha,"$787,000","$944,000",20.0%
"Jim Cattanach Rd, Darlington Point",RU1,400.3 ha,"$1,650,000","$1,810,000",9.7%
"Colombo Rd, Jerilderie",RU1,6.665 ha,"$30,500","$30,500",0.0%
"Oaklands Rd, Jerilderie",RU1,583.456 ha,"$3,250,000","$3,250,000",0.0%
"South Coree Rd, Jerilderie",RU1,392.966 ha,"$1,300,000","$1,300,000",0.0%
