Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Yarranabee Rd, Baan Baa",RU1,129.5 ha,"$888,000","$888,000",0.0%
"Kaputar Rd, Bullawa Creek",RU4,10.31 ha,"$238,000","$261,000",9.7%
"Edenvale Rd, Edgeroi",RU1,297.5 ha,"$3,720,000","$3,720,000",0.0%
"Silo Rd, Gwabegar",RU1,4.527 ha,"$50,000","$50,000",0.0%
"Squires Lane, Gwabegar",RU1,442 ha,"$232,000","$232,000",0.0%
"Tuppiari Rd, Jacks Creek",RU1,147.6 ha,"$250,000","$250,000",0.0%
"Harparary Rd, Maules Creek",RU1,10.8 ha,"$152,000","$152,000",0.0%
"Kamilaroi Hwy, Merah North",RU1,410.756 ha,"$2,700,000","$2,700,000",0.0%
"Culgoora Rd, Narrabri",RU1,262.3 ha,"$579,000","$636,000",9.8%
"Genanagie St, Narrabri",RU1,3.111 ha,"$187,000","$187,000",0.0%
"Harris Lane, Wee Waa",RU1,7.482 ha,"$85,200","$85,200",0.0%
