Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Rawson Rd, Bogan Gate",RU1,439.1 ha,"$1,050,000","$945,000",-10.0%
"Adavale Lane, Goonumbla",RU1,153.6 ha,"$687,000","$687,000",0.0%
"Brolgan Rd, Nelungaloo",RU1,239.7 ha,"$1,480,000","$1,550,000",4.7%
"Back Trundle Rd, Parkes",RU1,299.913 ha,"$1,440,000","$1,440,000",0.0%
"Henry Parkes Way, Parkes",RU1,4.057 ha,"$338,000","$338,000",0.0%
"Lake Endeavour Rd, Parkes",RU1,421.373 ha,"$717,000","$717,000",0.0%
"Back Peak Hill Rd, Peak Hill",RU1,370 ha,"$886,000","$1,060,000",19.6%
"Mingelo St, Peak Hill",RU1,3081.7 m²,"$10,600","$10,600",0.0%
"Station Lane, Peak Hill",RU1,4.047 ha,"$51,400","$51,400",0.0%
"Back Trundle Rd, Trundle",RU1,1.487 ha,"$5,610","$5,610",0.0%
"Numalla Rd, Trundle",RU1,396.58 ha,"$562,000","$562,000",0.0%
"The Mcgrane Way , Tullamore",RU1,644.08 ha,"$1,320,000","$1,380,000",4.6%
