Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Atkins Rd, Ermington",E4,1606.4 m²,"$3,150,000","$3,300,000",4.8%
"Grose St, North Parramatta",E4,923.2 m²,"$2,200,000","$2,200,000",0.0%
"Lenton Pl, North Rocks",E4,8547 m²,"$6,300,000","$6,600,000",4.8%
"Briens Rd, Northmead",E4,3.692 ha,"$29,700,000","$30,900,000",4.0%
"James Ruse Dr, Parramatta",E4,480.6 m²,"$72,200","$75,000",3.9%
"Shirley St, Rosehill",E5,1.126 ha,"$12,700,000","$12,700,000",0.0%
"South St, Rydalmere",E4,535.17 m²,"$1,700,000","$1,760,000",3.5%
"Egerton St, Silverwater",E4,9181 m²,"$11,000,000","$11,000,000",0.0%
"Fisher St, Silverwater",E4,690.9 m²,"$2,310,000","$2,350,000",1.7%
"Wetherill St, Silverwater",E4,2023.67 m²,"$3,780,000","$4,050,000",7.1%
