Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Third Rd, Berkshire Park",RU4,1.61 ha,"$2,050,000","$2,100,000",2.4%
"Castlereagh Rd, Castlereagh",RU1,2.155 ha,"$2,300,000","$2,400,000",4.4%
"Farrells Lane, Castlereagh",R,4675 m²,"$390,000","$400,000",2.6%
"Hinxman Rd, Castlereagh",RU4,2.023 ha,"$1,700,000","$1,950,000",14.7%
"Tadmore Rd, Cranebrook",RU4,2.023 ha,"$1,600,000","$1,800,000",12.5%
"Blaikie Rd, Jamisontown",RU4,2.023 ha,"$2,600,000","$2,850,000",9.6%
"Elizabeth Dr, Kemps Creek",RU4,1.574 ha,"$3,200,000","$3,500,000",9.4%
"Elizabeth Dr, Kemps Creek",RU2,14.33 ha,"$11,000,000","$12,000,000",9.1%
"Mamre Rd, Kemps Creek",RU4,2.608 ha,"$3,000,000","$3,500,000",16.7%
"Fifth Ave, Llandilo",RU4,2.02 ha,"$2,000,000","$2,250,000",12.5%
"Nutt Rd, Londonderry",RU4,2.025 ha,"$1,550,000","$1,650,000",6.5%
"Reynolds Rd, Londonderry",RU4,2.161 ha,"$950,000","$1,050,000",10.5%
"Gates Rd, Luddenham",RU2,2.035 ha,"$1,990,000","$2,300,000",15.6%
"Castle Rd, Orchard Hills",RU4,1.215 ha,"$3,800,000","$3,420,000",-10.0%
"Factory Rd, Regentville",RU4,5640 m²,"$1,200,000","$1,350,000",12.5%
"Park Rd, Wallacia",RU1,6.419 ha,"$3,000,000","$3,500,000",16.7%
