Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Batar Creek Rd, Batar Creek",RU1,7.691 ha,"$575,000","$575,000",0.0%
"Cedar Loggers Lane, Batar Creek",RU1,42.21 ha,"$750,000","$750,000",0.0%
"Koree Island Rd, Beechwood",RU1,1.66 ha,"$515,000","$530,000",2.9%
"Koree Island Rd, Beechwood",RU1,29.8 ha,"$1,230,000","$1,230,000",0.0%
"Comboyne Rd, Byabarra",RU2,13.225 ha,"$670,000","$640,000",-4.5%
"Stennetts Rd, Comboyne",RU1,32.68 ha,"$970,000","$920,000",-5.2%
"Ocean Dr, Kew",RU1,4.047 ha,"$550,000","$550,000",0.0%
"Pappinbarra Rd, Lower Pappinbarra",RU1,40.37 ha,"$530,000","$530,000",0.0%
"Clarefield Dungay Creek Rd, Marlo Merrican",RU2,40.06 ha,"$570,000","$570,000",0.0%
"Kingfisher Ct, North Shore",RU1,840 m²,"$340,000","$310,000",-8.8%
"Sandfly Ally, North Shore",RU1,840 m²,"$50,000","$52,000",4.0%
"Shoreline Dr, North Shore",RU1,632.3 m²,"$610,000","$640,000",4.9%
"Pappinbarra Rd, Pappinbarra",RU2,53.35 ha,"$500,000","$510,000",2.0%
"John Oxley Dr, Port Macquarie",RU1,1964 m²,"$520,000","$520,000",0.0%
"Narrow Gut Rd, Rawdon Island",RU1,16.19 ha,"$1,340,000","$1,340,000",0.0%
"Shoreline Dr, Riverside",RU1,3.573 ha,"$675,000","$700,000",3.7%
"Rollands Plains Rd, Rollands Plains",RU1,13.16 ha,"$700,000","$650,000",-7.1%
"Rosewood Rd, Rosewood",RU1,4047 m²,"$580,000","$530,000",-8.6%
"Le Clos Sancrox Rd, Sancrox",RU1,1.444 ha,"$165,000","$140,000",-15.2%
"Sancrox Rd, Sancrox",RU1,10.11 ha,"$830,000","$800,000",-3.6%
"Mooney St, Telegraph Point",RU1,809.4 m²,"$240,000","$240,000",0.0%
"Ralfes Trl, Yarras",RU2,486.5 ha,"$486,000","$550,000",13.2%
