Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Cooma Rd, Bendoura",RU1,40.47 ha,"$742,000","$742,000",0.0%
"Hope Dr, Bungendore",RU1,8000 m²,"$634,000","$697,000",9.9%
"Kings Hwy, Bungendore",RU1,201.14 ha,"$1,160,000","$1,450,000",25.0%
"Kings Hwy, Carwoola",RU1,86.07 ha,"$1,490,000","$1,630,000",9.4%
"Lake George Rd, Currawang",RU1,8.296 ha,"$609,000","$609,000",0.0%
"Taradale Rd, Currawang",RU1,159.585 ha,"$1,170,000","$1,170,000",0.0%
"Halls Lane, Durran Durra",RU1,99.16 ha,"$750,000","$862,000",14.9%
"Hockey Lane, Durran Durra",RU1,75.68 ha,"$502,000","$577,000",14.9%
"Wells Pl, Googong",RU2,41.12 ha,"$1,240,000","$1,300,000",4.8%
"Parlour Creek Rd, Harolds Cross",RU1,79.98 ha,"$1,000,000","$1,150,000",15.0%
"Hereford Hall Rd, Hereford Hall",RU1,40.478 ha,"$494,000","$494,000",0.0%
"Lanyon Dr, Jerrabomberra",R,280.7 ha,"$2,540,000","$2,920,000",15.0%
"Tarago Rd, Lake George",RU1,850.4 ha,"$5,080,000","$5,840,000",15.0%
"Kings Hwy, Larbert",RU1,257.513 ha,"$2,860,000","$2,860,000",0.0%
"Barnet Dr, Mount Fairy",RU1,40.3 ha,"$610,000","$610,000",0.0%
"Nerriga Rd, Nerriga",RU1,42.49 ha,"$1,400,000","$1,390,000",-0.7%
"Koombahlah Rd, Primrose Valley",RU1,16.11 ha,"$799,000","$878,000",9.9%
"Urila Rd, Tinderry",RU1,17.69 ha,"$857,000","$942,000",9.9%
"Urila Rd, Urila",RU1,435.4 ha,"$938,000","$1,070,000",14.1%
"Amungula Pl, Wamboin",RU1,220 m²,"$28,400","$28,400",0.0%
