Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Nerringillah Rd, Bendalong",RU2,16.734 ha,"$1,060,000","$1,060,000",0.0%
"Harley Hill Rd, Berry",RU1,48.74 ha,"$3,700,000","$3,700,000",0.0%
"Browns Mountain Rd, Browns Mountain",RU1,1.464 ha,"$1,600,000","$1,330,000",-16.9%
"Princes Hwy, Burrill Lake",RU2,2.092 ha,"$1,200,000","$1,120,000",-6.7%
"Illustrious Ct, Callala Bay",RU2,1 ha,"$1,100,000","$1,020,000",-7.3%
"Bolong Rd, Coolangatta",RU1,3.076 ha,"$1,960,000","$2,100,000",7.1%
"Croobyar Rd, Croobyar",RU1,1 ha,"$1,420,000","$1,110,000",-21.8%
"Comberton Grange Rd, Falls Creek",RU2,12.13 ha,"$1,150,000","$1,050,000",-8.7%
"Jaspers Brush Rd, Jaspers Brush",RU1,2.106 ha,"$1,880,000","$1,500,000",-20.2%
"Strongs Rd, Jaspers Brush",RU1,29.88 ha,"$2,660,000","$2,660,000",0.0%
"Jacks Corner Rd, Kangaroo Valley",RU2,4.4 ha,"$1,400,000","$1,400,000",0.0%
"Jacks Corner Rd, Kangaroo Valley",RU2,40.52 ha,"$1,900,000","$1,900,000",0.0%
"Walkers Lane, Kangaroo Valley",RU1,68.747 ha,"$3,500,000","$3,500,000",0.0%
"Little Forest Rd, Little Forest",RU1,18.62 ha,"$2,130,000","$2,130,000",0.0%
"Garrads Lane, Milton",RU4,4.056 ha,"$1,450,000","$1,450,000",0.0%
"The River Road , Mogood",RU2,16.19 ha,"$680,000","$740,000",8.8%
"The River Road , Mogood",RU2,30.52 ha,"$900,000","$1,060,000",17.8%
"Mcmahons Rd, North Nowra",RU2,2 ha,"$1,020,000","$1,020,000",0.0%
"Albatross Rd, Nowra Hill",RU2,7050 m²,"$605,000","$605,000",0.0%
"Btu Rd, Nowra Hill",RU1,1.558 ha,"$28,400","$32,500",14.4%
"Braidwood Rd, Sassafras",RU2,14.11 ha,"$475,000","$500,000",5.3%
"Nebraska Rd, St Georges Basin",RU2,2757 m²,"$100,000","$100,000",0.0%
"Ironbark Rd, Tapitallee",RU4,2.132 ha,"$1,310,000","$1,150,000",-12.2%
"Forsyth St, Terara",RU1,1462 m²,"$785,000","$785,000",0.0%
"Lemon Tree Creek Rd, Termeil",RU2,40 ha,"$1,220,000","$1,220,000",0.0%
"Shoebridge Lane, Termeil",RU2,16.19 ha,"$1,090,000","$1,090,000",0.0%
"Tallawalla Way, Termeil",RU2,6.168 ha,"$812,000","$850,000",4.7%
"Evelyn Rd, Tomerong",RU4,1.86 ha,"$820,000","$738,000",-10.0%
"Pine Forest Rd, Tomerong",RU2,1.516 ha,"$770,000","$725,000",-5.8%
"Turpentine Rd, Tomerong",RU2,42.77 ha,"$1,800,000","$1,800,000",0.0%
"Gerringong Creek Rd, Upper Kangaroo River",RU2,57.313 ha,"$2,190,000","$2,190,000",0.0%
"Mackays Rd, Upper Kangaroo River",RU1,37.72 ha,"$3,420,000","$2,910,000",-14.9%
"Woodstock Rd, Woodstock",RU2,48.41 ha,"$1,740,000","$1,740,000",0.0%
"Greenwell Point Rd, Worrigee",RU1,37.01 ha,"$1,530,000","$1,530,000",0.0%
"Skye Farm Lane, Yatte Yattah",RU1,55.39 ha,"$2,980,000","$2,980,000",0.0%
