Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Broke Rd, Broke",RU4,10.3 ha,"$891,000","$980,000",10.0%
"Dyrring Rd, Dyrring",RU1,52.22 ha,"$920,000","$880,000",-4.4%
"Glendonbrook Rd, Glendon Brook",RU1,46.9 ha,"$1,100,000","$1,050,000",-4.6%
"Carrington St, Glenridding",RU1,1060 m²,"$230,000","$230,000",0.0%
"Putty Rd, Howes Valley",RU2,16.19 ha,"$510,000","$440,000",-13.7%
"Lambs Valley Rd, Lambs Valley",RU2,10.26 ha,"$965,000","$925,000",-4.2%
"Lemington Rd, Lemington",RU1,31.079 ha,"$665,000","$665,000",0.0%
"Hermitage Rd, Pokolbin",RU4,5.922 ha,"$1,400,000","$1,300,000",-7.1%
"Mirannie Rd, Reedy Creek",RU1,9.328 ha,"$750,000","$690,000",-8.0%
"Range Rd, Whittingham",RU1,10.12 ha,"$750,000","$740,000",-1.3%
