Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Wee Jasper Rd, Bombowlee",RU1,1.426 ha,"$231,000","$231,000",0.0%
"Crace Lane, Brindabella",RU1,98.486 ha,"$716,000","$895,000",25.0%
"Brungle Creek Rd, Brungle",RU1,243.9 ha,"$1,490,000","$1,490,000",0.0%
"Nimbo Rd, Brungle",RU1,56.08 ha,"$2,200,000","$2,200,000",0.0%
"Jeremiah Rd, Couragago",RU1,45.1 ha,"$136,000","$136,000",0.0%
"Jeremiah Rd, Couragago",RU1,8.643 ha,"$163,000","$163,000",0.0%
"Yaven Creek Rd, Darlow",RU1,354.6 ha,"$2,490,000","$2,490,000",0.0%
"East Gilmore Rd, Gilmore",RU1,4.699 ha,"$17,900","$17,900",0.0%
"East Gilmore Rd, Gilmore",RU1,3.697 ha,"$313,000","$313,000",0.0%
"Gilmore Mill Rd, Gilmore",RU1,2.291 ha,"$63,800","$63,800",0.0%
"West Gilmore Rd, Gilmore",RU1,113.63 ha,"$1,970,000","$1,970,000",0.0%
"Goobarragandra Rd, Goobarragandra",RU1,4.182 ha,"$330,000","$330,000",0.0%
"Goobarragandra Rd, Goobarragandra",RU1,49.54 ha,"$436,000","$436,000",0.0%
"Grahamstown Rd, Grahamstown",RU1,211 ha,"$304,000","$380,000",25.0%
"Ernies Way, Green Hills",RU1,20.38 ha,"$441,000","$441,000",0.0%
"Welumba Creek Rd, Greg Greg",RU1,97.76 ha,"$2,270,000","$2,270,000",0.0%
"Welumba Creek South Rd, Greg Greg",RU1,64.3 ha,"$1,780,000","$1,780,000",0.0%
"Indi Rd, Indi",RU1,277.8 ha,"$3,520,000","$3,520,000",0.0%
"Alpine Way, Khancoban",RU1,17.29 ha,"$191,000","$191,000",0.0%
"Swampy Plains River Rd, Khancoban",RU1,307.9 ha,"$2,080,000","$2,080,000",0.0%
"Goobarragandra Rd, Lacmalac",RU1,49.42 ha,"$583,000","$583,000",0.0%
"Kells Lane, Lacmalac",RU1,27.62 ha,"$977,000","$977,000",0.0%
"Lacmalac Rd, Lacmalac",RU1,161.3 m²,"$4,410","$4,410",0.0%
"Little River Rd, Little River",RU1,129.5 ha,"$4,120,000","$4,120,000",0.0%
"Walteela Rd, Mannus",RU1,114.7 ha,"$2,990,000","$2,990,000",0.0%
"Maragle Rd, Maragle",RU1,12.32 ha,"$180,000","$180,000",0.0%
"Tooma Rd, Maragle",RU1,40 ha,"$394,000","$394,000",0.0%
"Gocup Rd, Minjary",RU1,7482 m²,"$57,800","$57,800",0.0%
"Munderoo Rd, Munderoo",RU1,158.96 ha,"$2,870,000","$2,870,000",0.0%
"Batlow Rd, Tumbarumba",RU1,6.49 ha,"$145,000","$145,000",0.0%
"Emerson St, Tumbarumba",RU4,8448 m²,"$141,000","$141,000",0.0%
"Gocup Rd, Tumut",RU1,18.62 ha,"$1,140,000","$1,140,000",0.0%
"River Rd, Welaregang",RU1,9.068 ha,"$400,000","$400,000",0.0%
"Snowy Mountains Hwy, Wermatong",RU1,3.283 ha,"$383,000","$383,000",0.0%
"Westbrook Rd, Westdale",RU1,82.75 ha,"$496,000","$496,000",0.0%
"Wee Jasper Rd, Wyangle",RU1,52.2 ha,"$475,000","$475,000",0.0%
"Yaven Creek Rd, Yaven Creek",RU1,21.25 ha,"$144,000","$144,000",0.0%
"Yaven Creek Rd, Yaven Creek",RU1,64.245 ha,"$503,000","$503,000",0.0%
