Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Atkinson Rd, Caringbah",E4,1.718 ha,"$10,500,000","$12,000,000",14.3%
"Erskine Rd, Caringbah",E4,743.1 m²,"$1,340,000","$1,500,000",11.9%
"Resolution Dr, Caringbah",E4,1750 m²,"$2,400,000","$2,640,000",10.0%
"Taren Point Rd, Caringbah",E4,1909.6 m²,"$3,240,000","$3,590,000",10.8%
"Woodfield Bvd, Caringbah",E4,650.29 m²,"$1,320,000","$1,470,000",11.4%
"Burns Rd, Heathcote",E4,1054 m²,"$1,190,000","$1,290,000",8.4%
"Monro Ave, Kirrawee",E4,696.7 m²,"$1,400,000","$1,540,000",10.0%
"The Boulevarde , Kirrawee",E4,5211 m²,"$6,190,000","$6,690,000",8.1%
"The Boulevarde , Kirrawee",E4,1.922 ha,"$14,400,000","$15,900,000",10.4%
"Waratah St, Kirrawee",E4,1714 m²,"$2,640,000","$2,940,000",11.4%
"Cook St, Kurnell",E4,8441 m²,"$2,240,000","$2,490,000",11.2%
"Horning St, Kurnell",E4,524.19 m²,"$684,000","$749,000",9.5%
"Prince Charles Pde, Kurnell",E5,4.305 ha,"$649,000","$724,000",11.6%
"Box Rd, Miranda",E4,2412.6 m²,"$3,100,000","$3,400,000",9.7%
"Bay Rd, Taren Point",E4,4050 m²,"$5,750,000","$6,340,000",10.3%
"Mangrove Lane, Taren Point",W4,2361 m²,"$2,700,000","$2,990,000",10.7%
