Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Back Creek Rd, Back Creek",RU1,559.6 ha,"$508,000","$558,000",9.8%
"Long Gully Rd, Drake",RU1,121.9 ha,"$281,000","$281,000",0.0%
"Mount Lindesay Rd, Legume",RU1,317.4 ha,"$1,120,000","$1,230,000",9.8%
"Bondi Rd, Liston",RU1,2.115 ha,"$206,000","$247,000",19.9%
"Boorook Rd, Sandy Hill",RU1,1.862 ha,"$110,000","$132,000",20.0%
"Sugarbag Rd, Tabulam",RU1,41.18 ha,"$173,000","$216,000",24.9%
"Bellevue Rd, Tenterfield",RU1,22.76 ha,"$377,000","$420,000",11.4%
"Neagles Lane, Tenterfield",RU1,3.15 ha,"$169,000","$245,000",45.0%
"New England Hwy, Tenterfield",RU1,192.2 ha,"$1,100,000","$1,100,000",0.0%
"Paddys Flat Rd, Upper Tooloom",RU1,15.1 ha,"$14,700","$14,700",0.0%
"Red Ridge Lane, Willsons Downfall",RU1,24.28 ha,"$344,000","$344,000",0.0%
