Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"New England Hwy, Blandford",RU1,10.52 ha,"$885,000","$795,000",-10.2%
"Coulsons Creek Rd, Merriwa",RU1,81.65 ha,"$605,000","$638,000",5.5%
"Hulks Rd, Merriwa",RU1,16.19 ha,"$172,000","$181,000",5.2%
"Yarrandi Rd, Moobi",RU4,16.19 ha,"$640,000","$662,000",3.4%
"Hunter Rd, Moonan Flat",RU4,25.44 ha,"$480,000","$528,000",10.0%
"Bunnan Rd, Scone",RU1,46.48 ha,"$1,000,000","$950,000",-5.0%
"Bunnan Rd, Scone",RU1,287.7 ha,"$1,540,000","$1,540,000",0.0%
"New England Hwy, Scone",RU4,179.05 ha,"$4,050,000","$4,650,000",14.8%
"Glenbawn Rd, Segenhoe",RU1,23.58 ha,"$1,050,000","$1,050,000",0.0%
"Turill Bus Rte, Turill",RU1,745 ha,"$586,000","$498,000",-15.0%
"Upper Rouchel Rd, Upper Rouchel",RU1,62.72 ha,"$580,000","$580,000",0.0%
