Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bannaby Rd, Bannaby",RU1,64.75 ha,"$264,000","$290,000",9.9%
"Bannaby Rd, Bannaby",RU1,11.32 ha,"$365,000","$383,000",4.9%
"Blakney Creek North Rd, Bevendale",RU2,16.19 ha,"$194,000","$213,000",9.8%
"Heffernans Lane, Biala",RU2,532.47 ha,"$3,790,000","$4,150,000",9.5%
"Losebys Rd, Big Hill",RU2,193 ha,"$1,270,000","$1,270,000",0.0%
"Hearn St, Bigga",RU2,2.485 ha,"$130,000","$143,000",10.0%
"Salisbury Rd, Bigga",RU2,446.725 ha,"$1,580,000","$1,890,000",19.6%
"Yewrangara St, Bigga",RU2,3.159 ha,"$226,000","$226,000",0.0%
"Blakney Creek North Rd, Blakney Creek",RU2,111.198 ha,"$1,330,000","$1,460,000",9.8%
"Breadalbane Rd, Breadalbane",RU2,6.28 ha,"$283,000","$293,000",3.5%
"Mullins Creek Rd, Breadalbane",RU2,40.03 ha,"$736,000","$809,000",9.9%
"Povey Pl, Breadalbane",RU2,5.001 ha,"$495,000","$544,000",9.9%
"Offleys Lane, Broadway",RU1,16.19 ha,"$377,000","$377,000",0.0%
"Rye Park Rd, Broadway",RU2,80.42 ha,"$425,000","$510,000",20.0%
"Breadalbane Rd, Collector",RU2,2.043 ha,"$503,000","$503,000",0.0%
"Collector Rd, Collector",RU1,116.9 ha,"$1,570,000","$1,720,000",9.6%
"O'Sullivan St, Collector",RU1,90.04 ha,"$958,000","$958,000",0.0%
"Binda Rd, Crookwell",RU4,131.7 ha,"$1,350,000","$1,350,000",0.0%
"Grabben Gullen Rd, Crookwell",RU1,32.129 ha,"$379,000","$379,000",0.0%
"Redground Rd, Crookwell",RU1,127.7 ha,"$1,850,000","$2,220,000",20.0%
"Redground Heights Rd, Crookwell",RU2,2 ha,"$418,000","$459,000",9.8%
"Golspie Rd, Golspie",RU2,84.154 ha,"$610,000","$610,000",0.0%
"Golspie Rd, Golspie",RU2,193.9 ha,"$2,070,000","$2,070,000",0.0%
"Hewitts Lane, Grabben Gullen",RU4,2.114 ha,"$314,000","$345,000",9.9%
"Wheeo Rd, Grabben Gullen",RU1,59.77 ha,"$1,340,000","$1,340,000",0.0%
"Boureong Dr, Gunning",RU4,10.06 ha,"$515,000","$515,000",0.0%
"Boongarra Rd, Laggan",RU1,42.34 ha,"$1,050,000","$1,050,000",0.0%
"Redground Heights Rd, Laggan",RU2,2.001 ha,"$302,000","$302,000",0.0%
"Boorowa Rd, Lost River",RU2,16.19 ha,"$495,000","$495,000",0.0%
"Middle Creek Rd, Peelwood",RU2,72.84 ha,"$545,000","$545,000",0.0%
"Montana Rd, Peelwood",RU2,349.9 ha,"$355,000","$390,000",9.9%
"Third Creek Rd, Pejar",RU2,184.47 ha,"$2,550,000","$2,800,000",9.8%
"Scabben Flat Rd, Stonequarry",RU1,145.74 ha,"$2,220,000","$2,220,000",0.0%
"Taralga Rd, Taralga",RU1,12.14 ha,"$431,000","$560,000",29.9%
"Junction Point Rd, Tuena",RU1,80.1 ha,"$789,000","$789,000",0.0%
"Jerrong Rd, Wiarborough",RU2,34.31 ha,"$315,000","$330,000",4.8%
"Jerrong Rd, Wiarborough",RU2,40.27 ha,"$609,000","$669,000",9.9%
