Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Thunderbolts Way, Nowendoc",RU1,3.33 ha,"$27,000","$27,000",0.0%
"Thunderbolts Way, Nowendoc",RU1,185.7 ha,"$1,880,000","$1,880,000",0.0%
"Aberbaldie Rd, Walcha",RU4,31.41 ha,"$600,000","$600,000",0.0%
"Brackendale Rd, Walcha",RU1,260.299 ha,"$4,960,000","$4,960,000",0.0%
"Oxley Hwy, Walcha",RU1,8.558 ha,"$450,000","$450,000",0.0%
"Oxley Hwy, Walcha",RU1,41.78 ha,"$705,000","$705,000",0.0%
"Rowleys Creek Rd, Walcha",RU1,525.848 ha,"$3,000,000","$3,070,000",2.3%
"Thunderbolts Way, Walcha",RU1,61.617 ha,"$1,030,000","$1,030,000",0.0%
"Thunderbolts Way, Walcha",RU1,203.129 ha,"$3,030,000","$3,030,000",0.0%
"Berman St, Woolbrook",RU1,4047 m²,"$79,000","$79,000",0.0%
"Blomfield Rd, Yarrowitch",RU1,55.09 ha,"$115,000","$230,000",100.0%
"Mitchell Hill Rd, Yarrowitch",RU1,300.28 ha,"$3,450,000","$3,620,000",4.9%
"Upper Yarrowitch River Rd, Yarrowitch",RU1,20.909 ha,"$285,000","$285,000",0.0%
