Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bullagreen Lane, Bullagreen",RU1,781.2 ha,"$1,890,000","$1,980,000",4.8%
"Marthaguy Rd, Marthaguy",RU1,31.2 ha,"$159,000","$159,000",0.0%
"Marthaguy Rd, Marthaguy",RU1,23574.758 ha,"$52,600,000","$55,200,000",4.9%
Mount Harris,RU1,1000.3 ha,"$1,370,000","$1,500,000",9.5%
"Mullengudgery Rd, Mullengudgery",RU1,3712 m²,"$2,900","$3,040",4.8%
Nevertire,RU1,3.279 ha,"$15,000","$15,000",0.0%
Nevertire,RU1,686.1 ha,"$1,730,000","$1,900,000",9.8%
"Oxley Hwy, Tenandra",RU1,649.1 ha,"$1,480,000","$1,550,000",4.7%
"Johnsons Rd, The Marra",RU1,1994.16 ha,"$1,620,000","$1,700,000",4.9%
Warren,RU1,1516 ha,"$2,700,000","$2,830,000",4.8%
