Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Old Broken Hill Rd, Anabranch North",RU1,8691 ha,"$1,877,000","$1,877,000",0.0%
"Boeill Creek Rd, Boeill Creek",RU1,4.182 ha,"$820,000","$820,000",0.0%
"West Rd, Buronga",RU1,1.783 ha,"$321,000","$321,000",0.0%
"Oleander Dr, Coomealla",RU4,4.097 ha,"$120,000","$137,000",14.2%
"Creek Rd, Curlwaa",RU4,2.797 ha,"$93,000","$115,000",23.7%
"Ellerslie Rd, Ellerslie",RU4,23.92 ha,"$276,000","$276,000",0.0%
"Yankabilly Rd, Pomona",RU1,7828 m²,"$360,000","$360,000",0.0%
"Sturt Hwy, Trentham Cliffs",RU4,14.1 ha,"$472,000","$472,000",0.0%
"Murray River Licences , Wentworth",RU1,855 m²,"$2,200","$2,200",0.0%
"Pooncarie Rd, Wentworth",RU1,4145 ha,"$1,360,000","$1,360,000",0.0%
