Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Old Hume Hwy, Alpine",RU4,9.112 ha,"$1,690,000","$1,550,000",-8.3%
"Wilson Dr, Balmoral Village",RU4,2.008 ha,"$930,000","$980,000",5.4%
"Old Mandemar Rd, Berrima",RU4,2 ha,"$1,270,000","$1,460,000",15.0%
"Wombeyan Caves Rd, Berrima",RU4,11.45 ha,"$1,720,000","$1,720,000",0.0%
"Hopewood Rd, Bowral",RU4,1.915 ha,"$1,620,000","$1,840,000",13.6%
"Old Coowong Rd, Canyonleigh",RU1,43.45 ha,"$1,340,000","$1,340,000",0.0%
"Tugalong Rd, Canyonleigh",RU2,10.12 ha,"$910,000","$910,000",0.0%
"Church Ave, Colo Vale",RU4,2.194 ha,"$1,130,000","$1,130,000",0.0%
"Colo Rd, Colo Vale",RU4,12.88 ha,"$1,710,000","$1,800,000",5.3%
"Grevillea Pl, Colo Vale",RU2,17.9 ha,"$1,660,000","$1,660,000",0.0%
"Wilson Dr, Colo Vale",RU2,7048 m²,"$695,000","$730,000",5.0%
"Bundanoon Rd, Exeter",RU4,8 ha,"$1,980,000","$1,760,000",-11.1%
"Ringwood Rd, Exeter",RU4,40.51 ha,"$3,190,000","$3,190,000",0.0%
"Wattle Ridge Rd, Hill Top",RU4,2.118 ha,"$909,000","$950,000",4.5%
"Richards Lane, Joadja",RU2,34.4 ha,"$2,110,000","$2,110,000",0.0%
"Joadja Rd, Mandemar",RU2,2 ha,"$1,270,000","$1,320,000",3.9%
"Joadja Rd, Mandemar",RU2,41.68 ha,"$2,700,000","$2,700,000",0.0%
"Liebman Rd, Medway",RU2,41.86 ha,"$2,840,000","$2,840,000",0.0%
"Bong Bong Rd, Mittagong",RU2,4000 m²,"$950,000","$1,050,000",10.5%
"Beaconsfield Rd, Moss Vale",RU2,1486 m²,"$559,000","$559,000",0.0%
"Nowra Rd, Moss Vale",RU2,2.171 ha,"$1,200,000","$1,200,000",0.0%
"Yarrawa Rd, Moss Vale",RU2,46.09 ha,"$3,350,000","$3,350,000",0.0%
"Inverary Rd, Paddys River",RU2,66.71 ha,"$1,720,000","$1,800,000",4.7%
"Inverary Rd, Paddys River",RU1,135.4 ha,"$3,180,000","$3,180,000",0.0%
"Kareela Rd, Penrose",RU2,45.83 ha,"$1,440,000","$1,600,000",11.1%
"Jeffrey Lane, Wingello",RU2,16.49 ha,"$765,000","$845,000",10.5%
"Waratah St, Yerrinbool",RU2,3668 m²,"$352,000","$260,000",-26.1%
