Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Brooks Point Rd, Appin",RU2,2 ha,"$1,530,000","$1,470,000",-3.9%
"Arina Rd, Bargo",RU1,16.18 ha,"$2,100,000","$2,100,000",0.0%
"Dymond St, Bargo",RU4,1.092 ha,"$920,000","$920,000",0.0%
"Wanawong St, Belimbla Park",RU4,1.693 ha,"$1,150,000","$1,150,000",0.0%
"Arden Rd, Buxton",RU4,1.619 ha,"$980,000","$980,000",0.0%
"Biffins Lane, Cawdor",RU1,11.52 ha,"$2,440,000","$2,440,000",0.0%
"Biffins Lane, Cawdor",RU2,16 ha,"$3,130,000","$3,220,000",2.9%
"Douglas Park Dr, Douglas Park",RU2,47.14 ha,"$1,610,000","$1,610,000",0.0%
"Dredge Ave, Douglas Park",RU2,2087 m²,"$660,000","$660,000",0.0%
"Mcwilliam Dr, Douglas Park",RU4,2.495 ha,"$1,210,000","$1,330,000",9.9%
"Creighton Rd, Lakesland",RU1,4.05 ha,"$1,280,000","$1,140,000",-10.9%
"Steveys Forest Rd, Oakdale",RU1,834.7 m²,"$460,000","$390,000",-15.2%
"Silverdale Rd, Orangeville",RU2,15.05 ha,"$2,710,000","$2,650,000",-2.2%
"Mockingbird Rd, Pheasants Nest",RU1,2.399 ha,"$1,260,000","$1,180,000",-6.4%
"Scenic View, Razorback",RU2,1.275 ha,"$1,250,000","$1,230,000",-1.6%
"Silverdale Rd, Silverdale",RU2,18.49 ha,"$3,600,000","$3,500,000",-2.8%
"Stratford Rd, Tahmoor",RU2,2.003 ha,"$1,120,000","$1,180,000",5.4%
"Russell St, The Oaks",RU1,3.946 ha,"$1,460,000","$1,380,000",-5.5%
"Mckee Rd, Theresa Park",RU1,10.15 ha,"$1,950,000","$2,000,000",2.6%
"Thirlmere Way, Thirlmere",RU4,2.193 ha,"$1,300,000","$1,320,000",1.5%
"Bents Basin Rd, Wallacia",RU1,7.8 ha,"$2,500,000","$2,500,000",0.0%
"Silverdale Rd, Wallacia",RU2,4.047 ha,"$1,570,000","$1,570,000",0.0%
"Mcleay Rd, Werombi",RU2,2.015 ha,"$1,220,000","$1,220,000",0.0%
"Wilton Rd, Wilton",RU2,24.96 ha,"$2,750,000","$3,310,000",20.4%
"Wilton Park Rd, Wilton",RU2,15.63 ha,"$3,500,000","$4,150,000",18.6%
