Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Hughstonia Rd, Binalong",RU1,392.2 ha,"$4,730,000","$4,730,000",0.0%
"Patersons Lane, Binalong",RU4,25.21 ha,"$630,000","$630,000",0.0%
"Black Range Rd, Bowning",RU1,85.23 ha,"$1,020,000","$1,020,000",0.0%
"Wargeila Rd, Bowning",RU1,12.8 ha,"$464,000","$464,000",0.0%
"Shepherd Rd, Bywong",RU1,40.59 ha,"$951,000","$951,000",0.0%
"Fifeshire Rd, Good Hope",RU1,80.79 ha,"$1,010,000","$1,010,000",0.0%
"Good Hope Rd, Good Hope",RU1,8.015 ha,"$460,000","$506,000",10.0%
"Chambers Lane, Gundaroo",RU1,7.931 ha,"$559,000","$559,000",0.0%
"Murrumbateman Rd, Gundaroo",RU1,75.5 ha,"$1,100,000","$1,040,000",-5.5%
"Kaveneys Rd, Jeir",RU1,16.19 ha,"$1,930,000","$1,930,000",0.0%
"Esdale Rd, Mullion",RU1,259.83 ha,"$2,500,000","$2,500,000",0.0%
"Horseshoe Rd, Mullion",RU1,185.7 ha,"$1,120,000","$1,120,000",0.0%
"Bushs Lane, Murrumbateman",RU2,148.2 ha,"$2,290,000","$2,290,000",0.0%
"Euroka Ave, Murrumbateman",RU4,16.89 ha,"$1,300,000","$1,300,000",0.0%
"Hillview Dr, Murrumbateman",RU1,254.61 ha,"$4,800,000","$4,800,000",0.0%
"Dicks Creek Rd, Nanima",RU1,6.415 ha,"$946,000","$946,000",0.0%
"Glencoe Rd, Springrange",RU1,49.24 ha,"$1,770,000","$1,630,000",-7.9%
"Vaughan Dr, Sutton",RU4,16.19 ha,"$2,620,000","$2,620,000",0.0%
"Wallaroo Rd, Wallaroo",RU1,71.42 ha,"$1,920,000","$1,820,000",-5.2%
"Coodravale Rd, Wee Jasper",RU1,4.066 ha,"$289,000","$289,000",0.0%
"Doctors Flat Rd, Wee Jasper",RU1,82.22 ha,"$241,000","$241,000",0.0%
"Industrial Cl, Yass",RU1,1548 m²,"$10,000","$10,000",0.0%
"Reardons Rd, Yass",RU1,385.7 ha,"$4,320,000","$4,320,000",0.0%
"Pettys Lane, Yass River",RU1,180.4 ha,"$1,000,000","$1,000,000",0.0%
