Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Allingham St, Armidale",MU1,4471 m²,"$860,000","$860,000",0.0%
"Amber Cl, Armidale",R1,886.1 m²,"$196,000","$200,000",2.0%
"Beardy St, Armidale",R1,733.5 m²,"$195,000","$195,000",0.0%
"Bishop Cres, Armidale",R1,777.8 m²,"$210,000","$210,000",0.0%
"Blake St, Armidale",R1,1062 m²,"$130,000","$164,000",26.2%
"Burgess St, Armidale",R1,1.349 ha,"$880,000","$880,000",0.0%
"Claude St, Armidale",R1,733.5 m²,"$185,000","$187,000",1.1%
"Donegal Tce, Armidale",R1,932.9 m²,"$245,000","$245,000",0.0%
"Elowera Rd, Armidale",C4,4.047 ha,"$460,000","$480,000",4.4%
"Faulkner St, Armidale",R1,826.7 m²,"$222,000","$225,000",1.4%
"Faulkner St, Armidale",R1,735.8 m²,"$250,000","$250,000",0.0%
"Faulkner St, Armidale",MU1,733.49 m²,"$294,000","$294,000",0.0%
"Fittler Cl, Armidale",R1,736.1 m²,"$180,000","$180,000",0.0%
"Gungurru Rd, Armidale",R5,2.002 ha,"$409,000","$422,000",3.2%
"Johnson Ave, Armidale",R1,809.4 m²,"$180,000","$182,000",1.1%
"Mossman St, Armidale",R1,670.3 m²,"$123,000","$126,000",2.4%
"The Avenue , Armidale",R2,2021 m²,"$370,000","$370,000",0.0%
"Ben Lomond Rd, Ben Lomond",RU5,3794 m²,"$55,000","$65,000",18.2%
"Black Mountain Rd, Black Mountain",RU5,4047 m²,"$95,000","$115,000",21.1%
"Ebor St, Ebor",RU5,2023 m²,"$200,000","$175,000",-12.5%
"Guyra Rd, Guyra",R5,1.214 ha,"$150,000","$192,000",28.0%
"Moredun St, Guyra",MU1,910.5 m²,"$56,000","$70,000",25.0%
"Ollera St, Guyra",R1,1206 m²,"$75,000","$98,000",30.7%
"Queen St, Hillgrove",RU5,1676 m²,"$60,000","$65,000",8.3%
"New England Hwy, Llangothlin",RU5,4046 m²,"$70,000","$95,000",35.7%
"Wollomombi Village Rd, Wollomombi",RU5,2226 m²,"$40,000","$40,000",0.0%
