Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Tanamera Dr, Alstonville",R3,600 m²,"$590,000","$590,000",0.0%
"Whipps Ave, Alstonville",R2,852 m²,"$500,000","$500,000",0.0%
"Burnet St, Ballina",R3,651.3 m²,"$650,000","$640,000",-1.5%
"Catherine Cres, Ballina",R2,648 m²,"$530,000","$530,000",0.0%
"River St, Ballina",MU1,1050 m²,"$760,000","$750,000",-1.3%
"Lawrence Rise, Cumbalum",R3,562.8 m²,"$540,000","$490,000",-9.3%
"The Ridgeway , Cumbalum",R2,865.3 m²,"$650,000","$635,000",-2.3%
"Barwen St, East Ballina",R3,680.1 m²,"$1,050,000","$995,000",-5.2%
"Hindmarsh St, East Ballina",R3,790.4 m²,"$1,750,000","$1,650,000",-5.7%
"Suzanne St, East Ballina",R2,581.7 m²,"$760,000","$760,000",0.0%
"Cooloola Ave, Lennox Head",R2,663.4 m²,"$1,130,000","$1,130,000",0.0%
"Henderson Dr, Lennox Head",R2,1230 m²,"$900,000","$900,000",0.0%
"Longboard St, Lennox Head",R3,771.6 m²,"$865,000","$865,000",0.0%
"Ross St, Lennox Head",R3,700.61 m²,"$1,650,000","$1,800,000",9.1%
"Carroll Ave, Skennars Head",R2,665 m²,"$920,000","$880,000",-4.4%
"Mayo Ct, Skennars Head",R3,941.7 m²,"$1,000,000","$960,000",-4.0%
"Cedar St, Wardell",R2,937.3 m²,"$294,000","$325,000",10.5%
"Dolphin Dr, West Ballina",R2,713.6 m²,"$680,000","$680,000",0.0%
"Oakland Ave, West Ballina",R2,609 m²,"$353,000","$353,000",0.0%
"Westland Dr, West Ballina",R3,1001 m²,"$490,000","$490,000",0.0%
"Spring Creek Pl, Wollongbar",R2,771 m²,"$460,000","$460,000",0.0%
"Tectona Pl, Wollongbar",R3,817.3 m²,"$480,000","$480,000",0.0%
