Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bonar St, Arncliffe",R4,297.2 m²,"$1,230,000","$1,380,000",12.2%
"Firth St, Arncliffe",MU1,139.1 m²,"$750,000","$800,000",6.7%
"Kembla St, Arncliffe",R2,437.25 m²,"$1,070,000","$1,140,000",6.5%
"Wollongong Rd, Arncliffe",R4,682.6 m²,"$2,050,000","$2,110,000",2.9%
"East St, Bardwell Valley",R2,329 m²,"$84,000","$84,000",0.0%
"Wazir St, Bardwell Valley",R3,445.91 m²,"$1,060,000","$1,160,000",9.4%
"Abercorn St, Bexley",R2,476.55 m²,"$1,070,000","$1,180,000",10.3%
"Basil Rd, Bexley",R2,445.91 m²,"$1,100,000","$1,180,000",7.3%
"Beaconsfield St, Bexley",R2,1278.3 m²,"$2,400,000","$2,760,000",15.0%
"Connemarra St, Bexley",R3,650.44 m²,"$1,170,000","$1,250,000",6.8%
"Dunmore St, Bexley",R2,482.36 m²,"$1,100,000","$1,150,000",4.6%
"Forest Rd, Bexley",MU1,149.5 m²,"$550,000","$610,000",10.9%
"Forest Rd, Bexley",R2,539.48 m²,"$939,000","$1,030,000",9.7%
"Forest Rd, Bexley",MU1,467.8 m²,"$1,870,000","$1,980,000",5.9%
"Monomeeth St, Bexley",R4,420 m²,"$1,000,000","$1,030,000",3.0%
"Monomeeth St, Bexley",R3,1226.2 m²,"$2,320,000","$2,540,000",9.5%
"Monomeeth St, Bexley",R4,1220 m²,"$2,950,000","$3,030,000",2.7%
"Canonbury Gr, Bexley North",R2,467.9 m²,"$1,120,000","$1,190,000",6.3%
"Botany Rd, Botany",MU1,467.9 m²,"$1,500,000","$1,680,000",12.0%
"Daphne St, Botany",R3,455.7 m²,"$1,570,000","$1,670,000",6.4%
"Dent St, Botany",R2,398.4 m²,"$1,280,000","$1,380,000",7.8%
"Wilson St, Botany",R2,480.6 m²,"$1,370,000","$1,580,000",15.3%
"Aero St, Brighton-Le-Sands",R2,442.6 m²,"$1,400,000","$1,560,000",11.4%
"Bay St, Brighton-Le-Sands",MU1,398.4 m²,"$1,320,000","$1,400,000",6.1%
"O'Neill St, Brighton-Le-Sands",R4,316.2 m²,"$1,600,000","$1,640,000",2.5%
"Queens Rd, Brighton-Le-Sands",R4,847.3 m²,"$4,590,000","$4,720,000",2.8%
"The Boulevarde , Brighton-Le-Sands",MU1,1030 m²,"$5,800,000","$6,140,000",5.9%
"The Grand Pde, Brighton-Le-Sands",R2,670.2 m²,"$3,450,000","$4,090,000",18.6%
"Banks Ave, Daceyville",R2,303.5 m²,"$1,270,000","$1,470,000",15.8%
"Haig Ave, Daceyville",R2,4616 m²,"$7,150,000","$8,000,000",11.9%
"Isaac Smith St, Daceyville",R2,313.56 m²,"$1,340,000","$1,470,000",9.7%
"Gannon Ave, Dolls Point",R4,1572.1 m²,"$7,340,000","$7,560,000",3.0%
"Heffron Rd, Eastgardens",R4,164.5 m²,"$500,000","$850,000",70.0%
"Smith St, Eastgardens",R2,613.4 m²,"$1,370,000","$1,600,000",16.8%
"Gardeners Rd, Eastlakes",R4,942.1 m²,"$2,160,000","$2,220,000",2.8%
"Robinson St, Eastlakes",R2,385.7 m²,"$1,520,000","$1,650,000",8.6%
"Beauchamp Rd, Hillsdale",R3,366.7 m²,"$1,130,000","$1,200,000",6.2%
"Flint St, Hillsdale",R3,461.6 m²,"$1,530,000","$1,530,000",0.0%
"Kingsgrove Rd, Kingsgrove",MU1,189.7 m²,"$931,000","$990,000",6.3%
"Civic Ave, Kogarah",R2,474.2 m²,"$1,220,000","$1,320,000",8.2%
"Station St, Kogarah",MU1,215 m²,"$460,000","$489,000",6.3%
"Caroma Ave, Kyeemagh",R2,474.2 m²,"$1,470,000","$1,580,000",7.5%
"High St, Mascot",R2,437.4 m²,"$1,320,000","$1,390,000",5.3%
"Macintosh St, Mascot",R3,,"$708,000","$775,000",9.5%
"Mcburney Ave, Mascot",R2,518.1 m²,"$1,220,000","$1,340,000",9.8%
"O'Riordan St, Mascot",MU1,371.6 m²,"$1,510,000","$1,690,000",11.9%
"Sutherland St, Mascot",R2,328.8 m²,"$1,390,000","$1,470,000",5.8%
"Tunbridge St, Mascot",R3,4837 m²,"$10,900,000","$11,600,000",6.4%
"Culver St, Monterey",R2,480.6 m²,"$1,700,000","$1,990,000",17.1%
"O'Connell St, Monterey",R3,490.4 m²,"$1,300,000","$1,390,000",6.9%
